nom_amenageur,siren_amenageur,contact_amenageur,nom_operateur,contact_operateur,telephone_operateur,nom_enseigne,id_station_itinerance,id_station_local,nom_station,implantation_station,adresse_station,code_insee_commune,coordonneesXY,nbre_pdc,id_pdc_itinerance,id_pdc_local,puissance_nominale,prise_type_ef,prise_type_2,prise_type_combo_ccs,prise_type_chademo,prise_type_autre,gratuit,paiement_acte,paiement_cb,paiement_autre,tarification,condition_acces,reservation,horaires,accessibilite_pmr,restriction_gabarit,station_deux_roues,raccordement,num_pdl,date_mise_en_service,observations,date_maj,last_modified,datagouv_resource_id
MA Borne Auto,880217922,e.barre@maborneauto.com,ma Borne Auto,e.barre@maborneauto.com,361626161,GARAGE ZAWIEJA,Non concerné,01F8YH73V8G9RJTD3QKSPN7EHH,GARAGE ZAWIEJA,Parking privé réservé à la clientèle,25 rue du Pont 62128 CROISILLES,62259,"[50.1989359, 2.88342]",1,Non concerné,01F8YH73V8G9RJTD3QKSPN7EHH,22,0,1,0,0,0,1,0,0,0,null,Accès réservé,0,24/7,Accessible mais non réservé PMR,Aucune restriction,0,Indirect,01339652646323,2021-06-23,null,2021-06-23,2021-06-24T14:39:05.937000,ccf6321f-dc7c-47dd-b55e-2fa5d9bef6c3
Avomarks,442556452,stephane@avomarks.fr,Avomarks,stephane@avomarks.fr,04 50 69 47 52,Avomarks,Non concerné,01F8WSV27RK8ZG8QTW59R62GXJ,Avomarks,Parking privé réservé à la clientèle,55 rue Uranus 74650 CHAVANOD,74067,"[45.89067,6.07568]",1,Non concerné,01F8WSV27RK8ZG8QTW59R62GXJ,22,false,true,false,false,false,false,false,false,false,null,Accès réservé,false,"Mo-Fr 08:00-12:00,Mo-Fr 14:00-18:00,Th 08:00-18:00",Accessible mais non réservé PMR,0,false,Indirect,19 512 735 118 300,2021-06-01,null,2021-06-23,2021-06-23T18:22:28.086000,cec8c3fd-c5ac-4fa6-8912-dbd869583a21
MA Borne Auto,880217922,e.barre@maborneauto.com,ma Borne Auto,e.barre@maborneauto.com,361626161,ETANCHEITE PARTICULIERS ET INDUSTRIES,Non concerné,01F8T2FRWRBSCX49CB10H85MSR,ETANCHEITE PARTICULIERS ET INDUSTRIES,Parking privé réservé à la clientèle,30bis rue du général leclerc 59960 NEUVILLE EN FERRAIN,59426,"[50.7530166, 3.1443631]",1,Non concerné,01F8T2FRWRBSCX49CB10H85MSR,7,0,1,0,0,0,1,0,0,0,null,Accès réservé,0,24/7,Accessible mais non réservé PMR,Aucune restriction,0,Indirect,2197607266907,2021-05-10,null,2021-06-22,2021-06-22T16:45:48.034000,92731582-cb1b-4035-8509-0ad41d872e9e
MA Borne Auto,880217922,e.barre@maborneauto.com,ma Borne Auto,e.barre@maborneauto.com,361626161,LA FERME DE LA MOTTE,Non concerné,01F859RCGP1001KQFE2HT52P08,LA FERME DE LA MOTTE,Parking privé réservé à la clientèle,rue d'Esquerchin 62490 QUIERY-LA-MOTTE,62680,"[50.3681097, 2.9801575] ",1,Non concerné,01F8T0KBM3GPF7YYKY73CFR6N1,22,0,1,0,0,0,1,0,0,0,null,Accès réservé,0,24/7,Accessible mais non réservé PMR,Aucune restriction,0,Indirect,30000130603481,2021-06-15,null,2021-06-22,2021-06-22T16:20:56.225000,3714797b-1d86-4dee-ba5b-8047ec6eb210
MA Borne Auto,880217922,e.barre@maborneauto.com,ma Borne Auto,e.barre@maborneauto.com,361626161,SERITUDE,Non concerné,01F855VN9PNYHVV4G2PVR0JSGV,Sertitude,Parking privé réservé à la clientèle,1157 Rue du Dr Henri Vanuxeem 59850 Nieppe,59431,"[50.696382, 2.827864]",1,Non concerné,01F855ZM0DK6KAMZJBR22DNS56,7,0,1,0,0,0,1,0,0,0,null,Accès réservé,0,24/7,Accessible mais non réservé PMR,Aucune restriction,0,Indirect,1173805914612,2021-02-16,null,2021-06-22,2021-06-22T15:46:29.986000,20418e5c-7ae3-477d-8d25-1e6efd368ba5
SAS SODANG,331618207,a.detournay@enerstock.Fr,Enerstock,a.detournay@enerstock.fr,0467551725,Leclerc,FRENRE,FRENRE,Drive Leclerc Anglet,Parking privé à usage public,10 rue latchague,64024,"[-1.52,43.49]",5,FRENRE0014,null,22,false,true,false,false,false,false,true,false,true,0.30€ au départ + 0.18€/kWh + 0.01€/min,Accès libre,false,24/7,Accessible mais non réservé PMR,Hauteur maximum 3m,false,Indirect,50064500645103,2021-06-17,null,2021-06-15,2021-06-22T14:07:04.044000,a2e7aedf-e35d-4316-a1dc-cfd2c4ff8553
SAS SODANG,331618207,a.detournay@enerstock.Fr,Enerstock,a.detournay@enerstock.fr,0467551725,Leclerc,FRENRE,FRENRE,Drive Leclerc Anglet,Parking privé à usage public,10 rue latchag,64024,"[-1.52,43.49]",5,FRENRE0013,null,22,false,true,false,false,false,false,true,false,true,0.30€ au départ + 0.18€/kWh + 0.01€/min,Accès libre,false,24/7,Accessible mais non réservé PMR,Hauteur maximum 3m,false,Indirect,50064500645103,2021-06-17,null,2021-06-15,2021-06-22T14:07:04.044000,a2e7aedf-e35d-4316-a1dc-cfd2c4ff8553
SAS SODANG,331618207,a.detournay@enerstock.Fr,Enerstock,a.detournay@enerstock.fr,0467551725,Leclerc,FRENRE,FRENRE,Drive Leclerc Anglet,Parking privé à usage public,10 rue latchague ,64024,"[-1.52,43.49]",5,FRENRE0011,null,22,false,true,false,false,false,false,true,false,true,0.30€ au départ + 0.18€/kWh + 0.01€/min,Accès libre,false,24/7,Accessible mais non réservé PMR,Hauteur maximum 3m,false,Indirect,50064500645103,2021-06-17,null,2021-06-15,2021-06-22T14:07:04.044000,a2e7aedf-e35d-4316-a1dc-cfd2c4ff8553
SAS SODANG,331618207,a.detournay@enerstock.Fr,Enerstock,a.detournay@enerstock.fr,0467551725,Leclerc,FRENRE,FRENRE,Drive Leclerc Anglet,Parking privé à usage public,10 rue latchague,64024,"[-1.52,43.49]",5,FRENRE0012,null,22,false,true,false,false,false,false,true,false,true,0.30€ au départ + 0.18€/kWh + 0.01€/min,Accès libre,false,24/7,Accessible mais non réservé PMR,Hauteur maximum 3m,false,Indirect,50064500645103,2021-06-17,null,2021-06-15,2021-06-22T14:07:04.044000,a2e7aedf-e35d-4316-a1dc-cfd2c4ff8553
SAS SODANG,331618207,a.detournay@enerstock.Fr,Enerstock,a.detournay@enerstock.fr,0467551725,Leclerc,FRENRE,FRENRE,Drive Leclerc Anglet,Parking privé à usage public,10 rue de latchague 64600 ,64024,"[-1.52,43.49]",5,FRENRE0010,null,22,true,true,false,false,false,false,true,false,true,0.30€ au départ + 0.18€/kWh + 0.01€/min,Accès libre,false,24/7,Accessible mais non réservé PMR,Hauteur maximum 3m,false,Indirect,50064500645103,2021-06-17,null,2021-06-15,2021-06-22T14:07:04.044000,a2e7aedf-e35d-4316-a1dc-cfd2c4ff8553
