n_amenageur,n_operateur,n_enseigne,id_station,n_station,ad_station,code_insee,Xlongitude,Ylatitude,nbre_pdc,id_pdc,puiss_max,type_prise,acces_recharge,accessibilité,observations,date_maj,last_modified,datagouv_resource_id,Numéro pdc,Numéro station,accessibilitÃ©
IZIVIA FMET 1,IZIVIA,IZIVIA Grand Lyon,FR*GLY*PLYON*3,IZIVIA Grand Lyon | Bron | Avenue Pierre Brossolette,"Face au 81 Avenue Pierre Brossolette, Bron",69029,4.919721,45.742366,4,FR*GLY*ELYON*3*1*1,7,T2 - EF,payant,24h/24,"badge, appli et QR code",2021/05/26,2021-05-28T16:57:43.993000,25e8259b-77e9-478c-8940-f14546962720,null,null,null
IZIVIA FMET 1,IZIVIA,IZIVIA Grand Lyon,FR*GLY*PLYON*51,IZIVIA Grand Lyon | Oullins | Centre,"23 rue Perron, Oullins",69149,4.806887,45.713032,4,FR*GLY*ELYON*51*1*2,7,T2 - EF,payant,24h/24,"badge, appli et QR code",2021/05/26,2021-05-28T16:57:43.993000,25e8259b-77e9-478c-8940-f14546962720,null,null,null
IZIVIA FMET 1,IZIVIA,IZIVIA Grand Lyon,FR*GLY*PLYON*21,IZIVIA Grand Lyon | Quincieux | Parking Route de Chasselay,"Parking Route de Chasselay, Quincieux",69163,4.777065,45.913791,4,FR*GLY*ELYON*21*1*2,7,T2 - EF,payant,24h/24,"badge, appli et QR code",2021/05/26,2021-05-28T16:57:43.993000,25e8259b-77e9-478c-8940-f14546962720,null,null,null
IZIVIA FMET 1,IZIVIA,IZIVIA Grand Lyon,FR*GLY*PLYON*21,IZIVIA Grand Lyon | Quincieux | Parking Route de Chasselay,"Parking Route de Chasselay, Quincieux",69163,4.777065,45.913791,4,FR*GLY*ELYON*21*2*1,7,T2 - EF,payant,24h/24,"badge, appli et QR code",2021/05/26,2021-05-28T16:57:43.993000,25e8259b-77e9-478c-8940-f14546962720,null,null,null
IZIVIA FMET 1,IZIVIA,IZIVIA Grand Lyon,FR*GLY*PLYON*21,IZIVIA Grand Lyon | Quincieux | Parking Route de Chasselay,"Parking Route de Chasselay, Quincieux",69163,4.777065,45.913791,4,FR*GLY*ELYON*21*1*1,7,T2 - EF,payant,24h/24,"badge, appli et QR code",2021/05/26,2021-05-28T16:57:43.993000,25e8259b-77e9-478c-8940-f14546962720,null,null,null
IZIVIA FMET 1,IZIVIA,IZIVIA Grand Lyon,FR*GLY*PLYON*50,IZIVIA Grand Lyon | Oullins | Francisque Jomard,"36 Rue Francisque Jomard, Oullins",69149,4.798160,45.715749,4,FR*GLY*ELYON*50*2*2,7,T2 - EF,payant,24h/24,"badge, appli et QR code",2021/05/26,2021-05-28T16:57:43.993000,25e8259b-77e9-478c-8940-f14546962720,null,null,null
IZIVIA FMET 1,IZIVIA,IZIVIA Grand Lyon,FR*GLY*PLYON*50,IZIVIA Grand Lyon | Oullins | Francisque Jomard,"36 Rue Francisque Jomard, Oullins",69149,4.798160,45.715749,4,FR*GLY*ELYON*50*1*2,7,T2 - EF,payant,24h/24,"badge, appli et QR code",2021/05/26,2021-05-28T16:57:43.993000,25e8259b-77e9-478c-8940-f14546962720,null,null,null
IZIVIA FMET 1,IZIVIA,IZIVIA Grand Lyon,FR*GLY*PLYON*50,IZIVIA Grand Lyon | Oullins | Francisque Jomard,"36 Rue Francisque Jomard, Oullins",69149,4.798160,45.715749,4,FR*GLY*ELYON*50*2*1,7,T2 - EF,payant,24h/24,"badge, appli et QR code",2021/05/26,2021-05-28T16:57:43.993000,25e8259b-77e9-478c-8940-f14546962720,null,null,null
IZIVIA FMET 1,IZIVIA,IZIVIA Grand Lyon,FR*GLY*PLYON*50,IZIVIA Grand Lyon | Oullins | Francisque Jomard,"36 Rue Francisque Jomard, Oullins",69149,4.798160,45.715749,4,FR*GLY*ELYON*50*1*1,7,T2 - EF,payant,24h/24,"badge, appli et QR code",2021/05/26,2021-05-28T16:57:43.993000,25e8259b-77e9-478c-8940-f14546962720,null,null,null
IZIVIA FMET 1,IZIVIA,IZIVIA Grand Lyon,FR*GLY*PLYON*51,IZIVIA Grand Lyon | Oullins | Centre,"23 rue Perron, Oullins",69149,4.806887,45.713032,4,FR*GLY*ELYON*51*2*1,7,T2 - EF,payant,24h/24,"badge, appli et QR code",2021/05/26,2021-05-28T16:57:43.993000,25e8259b-77e9-478c-8940-f14546962720,null,null,null
IZIVIA FMET 1,IZIVIA,IZIVIA Grand Lyon,FR*GLY*PLYON*18,IZIVIA Grand Lyon | Mions | La Halle du Marché,"Face au 2 Rue du 19 mars 1962, Mions",69283,4.957743,45.664807,4,FR*GLY*ELYON*18*1*2,7,T2 - EF,payant,24h/24,"badge, appli et QR code",2021/05/26,2021-05-28T16:57:43.993000,25e8259b-77e9-478c-8940-f14546962720,null,null,null
IZIVIA FMET 1,IZIVIA,IZIVIA Grand Lyon,FR*GLY*PLYON*51,IZIVIA Grand Lyon | Oullins | Centre,"23 rue Perron, Oullins",69149,4.806887,45.713032,4,FR*GLY*ELYON*51*1*1,7,T2 - EF,payant,24h/24,"badge, appli et QR code",2021/05/26,2021-05-28T16:57:43.993000,25e8259b-77e9-478c-8940-f14546962720,null,null,null
