BGT_NATDEC,BGT_ANNEE,BGT_SIRET,BGT_NOM,BGT_CONTNAT,BGT_CONTNAT_LABEL,BGT_NATURE,BGT_NATURE_LABEL,BGT_FONCTION,BGT_FONCTION_LABEL,BGT_OPERATION,BGT_SECTION,BGT_OPBUDG,BGT_CODRD,BGT_MTREAL,BGT_MTBUDGPREC,BGT_MTRARPREC,BGT_MTPROPNOUV,BGT_MTPREV,BGT_CREDOUV,BGT_MTRAR3112,BGT_ARTSPE,last_modified,datagouv_resource_id,BGT_COUT,BGT_OP_INVEST,BGT_OP_CPT_TIERS,BGT_OP_PLURI
null,null,20005270200012,FINANCES,001,null,null,001 - Solde exécution invest. reporté,01000,null,null,investissement,null,dépense,3134877.91,null,null,null,null,null,null,null,2021-02-18T15:12:10.446000,64f9c99c-db8d-4157-993e-5e317f9bf37b,01,null,null,null
null,null,20005270200012,PATRIMOINE,2316,null,null,23 - Immobilisations en cours,02040,null,null,investissement,null,dépense,80000,null,null,null,null,null,null,null,2021-02-18T15:12:10.446000,64f9c99c-db8d-4157-993e-5e317f9bf37b,02040,4-2-78,null,4-2
null,null,20005270200012,FINANCES,28031,null,null,040 - Opérat° ordre transfert entre sections,32200,null,null,investissement,null,recette,2196.02,null,null,null,null,null,null,null,2021-02-18T15:12:10.446000,64f9c99c-db8d-4157-993e-5e317f9bf37b,3221,301,null,null
null,null,20005270200012,FINANCES,28031,null,null,040 - Opérat° ordre transfert entre sections,02000,null,null,investissement,null,recette,10554.26,null,null,null,null,null,null,null,2021-02-18T15:12:10.446000,64f9c99c-db8d-4157-993e-5e317f9bf37b,0200,301,null,null
null,null,20005270200012,FINANCES,28031,null,null,040 - Opérat° ordre transfert entre sections,01000,null,null,investissement,null,recette,763.84,null,null,null,null,null,null,null,2021-02-18T15:12:10.446000,64f9c99c-db8d-4157-993e-5e317f9bf37b,01,301,null,null
null,null,20005270200012,FINANCES,2802,null,null,040 - Opérat° ordre transfert entre sections,81000,null,null,investissement,null,recette,31795.98,null,null,null,null,null,null,null,2021-02-18T15:12:10.446000,64f9c99c-db8d-4157-993e-5e317f9bf37b,810,301,null,null
null,null,20005270200012,FINANCES,2802,null,null,040 - Opérat° ordre transfert entre sections,01000,null,null,investissement,null,recette,204.02,null,null,null,null,null,null,null,2021-02-18T15:12:10.446000,64f9c99c-db8d-4157-993e-5e317f9bf37b,01,301,null,null
null,null,20005270200012,FINANCES,024,null,null,024 - Produits des cessions d'immobilisations,81000,null,null,investissement,null,recette,144200,null,null,null,null,null,null,null,2021-02-18T15:12:10.446000,64f9c99c-db8d-4157-993e-5e317f9bf37b,810,null,null,null
null,null,20005270200012,FINANCES,021,null,null,021 - Virement de la sect° de fonctionnement,01000,null,null,investissement,null,recette,1883432.33,null,null,null,null,null,null,null,2021-02-18T15:12:10.446000,64f9c99c-db8d-4157-993e-5e317f9bf37b,01,null,null,null
null,null,20005270200012,ENVIRONNEM,458101,null,null,4581 - Opérations sous mandat,81000,null,null,investissement,null,dépense,30000,null,null,null,null,null,null,null,2021-02-18T15:12:10.446000,64f9c99c-db8d-4157-993e-5e317f9bf37b,824,null,01,null
