Numéro pdc,Numéro station,n_amenageur,n_operateur,n_enseigne,id_station,n_station,ad_station,code_insee,Xlongitude,Ylatitude,nbre_pdc,id_pdc,puiss_max,type_prise,acces_recharge,accessibilité,observations,date_maj,last_modified,datagouv_resource_id,accessibilitÃ©
null,null,SAS BOURG DE THIZY DISTRIBUTION,BORNES SOLUTIONS,BSP,FR*BSP*69240000000228,Intermarché Thizy-les-Bourgs,Route de Roanne,69041,4.289598,46.034904,1,FR*BSP*E69240THILESBOU*01*OD,22,T2-E/F,Payant,24/7,Recharge par badge,2020/12/07,2021-07-02T12:01:17.080000,e6107e71-deae-4860-8cff-f9e60b46aa7f,null
null,null,SACOA DES NATIONS,BORNES SOLUTIONS,BSP,FR*BSP*P8610000000001,Renault Châtellerault,13 Avenue Honoré de Balzac,86259,0.525524,46.791476,1,FR*BSP*E86100SODACGARA*01*OD,22,T2-E/F,Gratuit,accessible aux heures d'ouverture du site,Recharge par badge,2020/12/07,2021-07-02T12:01:17.080000,e6107e71-deae-4860-8cff-f9e60b46aa7f,null
null,null,CHARTRES SPORT & LOISIRS,BORNES SOLUTIONS,BSP,FR*BSP*28000000000252,Karting de Chartres,Avenue Victor Hugo,28085,1.5418966,48.4480485,1,FR*BSP*E28000KARDECHA*04*OD,22,T2-E/F,Payant,accessible aux heures d'ouverture du site,Recharge par badge,2020/12/07,2021-07-02T12:01:17.080000,e6107e71-deae-4860-8cff-f9e60b46aa7f,null
null,null,CHARTRES SPORT & LOISIRS,BORNES SOLUTIONS,BSP,FR*BSP*28000000000252,Karting de Chartres,Avenue Victor Hugo,28085,1.5418966,48.4480485,1,FR*BSP*E28000KARDECHA*03*OD,22,T2-E/F,Payant,accessible aux heures d'ouverture du site,Recharge par badge,2020/12/07,2021-07-02T12:01:17.080000,e6107e71-deae-4860-8cff-f9e60b46aa7f,null
null,null,CHARTRES SPORT & LOISIRS,BORNES SOLUTIONS,BSP,FR*BSP*28000000000252,Karting de Chartres,Avenue Victor Hugo,28085,1.5418966,48.4480485,1,FR*BSP*E28000KARDECHA*02*OD,22,T2-E/F,Payant,accessible aux heures d'ouverture du site,Recharge par badge,2020/12/07,2021-07-02T12:01:17.080000,e6107e71-deae-4860-8cff-f9e60b46aa7f,null
null,null,CHARTRES SPORT & LOISIRS,BORNES SOLUTIONS,BSP,FR*BSP*28000000000252,Karting de Chartres,Avenue Victor Hugo,28085,1.5418966,48.4480485,1,FR*BSP*E28000KARDECHA*01*OD,22,T2-E/F,Payant,accessible aux heures d'ouverture du site,Recharge par badge,2020/12/07,2021-07-02T12:01:17.080000,e6107e71-deae-4860-8cff-f9e60b46aa7f,null
null,null,SAS BOURG DE THIZY DISTRIBUTION,BORNES SOLUTIONS,BSP,FR*BSP*69240000000228,Intermarché Thizy-les-Bourgs,Route de Roanne,69041,4.289598,46.034904,1,FR*BSP*E69240THILESBOU*02*OD,22,T2-E/F,Payant,24/7,Recharge par badge,2020/12/07,2021-07-02T12:01:17.080000,e6107e71-deae-4860-8cff-f9e60b46aa7f,null
null,null,CATP Tours,BORNES SOLUTIONS,BSP,FR*BSP*P37000000000001,Crédit Agricole Touraine Poitou,45 Boulevard Winston Churchill,37261,0.681704879,47.37425458,1,FR*BSP*E37000CATPTOURS*02*OD,22,T2-E/F,Gratuit,accessible aux heures d'ouverture du site,Recharge par badge,2020/12/07,2021-07-02T12:01:17.080000,e6107e71-deae-4860-8cff-f9e60b46aa7f,null
null,null,CATP Tours,BORNES SOLUTIONS,BSP,FR*BSP*P37000000000001,Crédit Agricole Touraine Poitou,45 Boulevard Winston Churchill,37261,0.681704879,47.37425458,1,FR*BSP*E37000CATPTOURS*01*OD,22,T2-E/F,Gratuit,accessible aux heures d'ouverture du site,Recharge par badge,2020/12/07,2021-07-02T12:01:17.080000,e6107e71-deae-4860-8cff-f9e60b46aa7f,null
null,null,SACOA DES NATIONS,BORNES SOLUTIONS,BSP,FR*BSP*P86000000000001,Renault Poitiers,33 Boulevard de Pont Achard,86194,0.332884,46.580346,1,FR*BSP*E86000SACOAGARE*02*OD,22,T2-E/F,Gratuit,accessible aux heures d'ouverture du site,Recharge par badge,2020/12/07,2021-07-02T12:01:17.080000,e6107e71-deae-4860-8cff-f9e60b46aa7f,null
null,null,SACOA DES NATIONS,BORNES SOLUTIONS,BSP,FR*BSP*P86000000000001,Renault Poitiers,33 Boulevard de Pont Achard,86194,0.332884,46.580346,1,FR*BSP*E86000SACOAGARE*01*OD,22,T2-E/F,Gratuit,accessible aux heures d'ouverture du site,Recharge par badge,2020/12/07,2021-07-02T12:01:17.080000,e6107e71-deae-4860-8cff-f9e60b46aa7f,null
null,null,BORNES SOLUTIONS,BORNES SOLUTIONS,BSP,FR*BSP*P92350000000001,Bornes Solutions IDF,15 Avenue Descartes,92060,2.242489,48.777098,1,FR*BSP*E92350BSLPR*01*OD,7,T2-E/F,Gratuit,accessible aux heures d'ouverture du site,Recharge par badge,2020/12/07,2021-07-02T12:01:17.080000,e6107e71-deae-4860-8cff-f9e60b46aa7f,null
null,null,SACOA DES NATIONS,BORNES SOLUTIONS,BSP,FR*BSP*P8610000000001,Renault Châtellerault,13 Avenue Honoré de Balzac,86259,0.525524,46.791476,1,FR*BSP*E86100SODACGARA*02*OD,22,T2-E/F,Gratuit,accessible aux heures d'ouverture du site,Recharge par badge,2020/12/07,2021-07-02T12:01:17.080000,e6107e71-deae-4860-8cff-f9e60b46aa7f,null
null,null,BORNES SOLUTIONS,BORNES SOLUTIONS,BSP,FR*BSP*P92350000000001,Bornes Solutions IDF,15 Avenue Descartes,92060,2.242489,48.777098,1,FR*BSP*E92350BSLPR*02*OD,22,T2-E/F,Gratuit,accessible aux heures d'ouverture du site,Recharge par badge,2020/12/07,2021-07-02T12:01:17.080000,e6107e71-deae-4860-8cff-f9e60b46aa7f,null
null,null,FMD,BORNES SOLUTIONS,BSP,FR*BSP*P86360000000002,PARC DU FUTUROSCOPE,Avenue du Futuroscope,86062,0.366939,46.666345,1,FR*BSP*E86360FUTURPARC*06*OD,7,T2-E/F,Gratuit,accessible aux heures d'ouverture du site,Recharge par badge,2020/12/07,2021-07-02T12:01:17.080000,e6107e71-deae-4860-8cff-f9e60b46aa7f,null
null,null,FMD,BORNES SOLUTIONS,BSP,FR*BSP*P86360000000002,PARC DU FUTUROSCOPE,Avenue du Futuroscope,86062,0.366939,46.666345,1,FR*BSP*E86360FUTURPARC*01*OD,7,T2-E/F,Gratuit,accessible aux heures d'ouverture du site,Recharge par badge,2020/12/07,2021-07-02T12:01:17.080000,e6107e71-deae-4860-8cff-f9e60b46aa7f,null
null,null,FMD,BORNES SOLUTIONS,BSP,FR*BSP*P86360000000001,PARC DU FUTUROSCOPE,Boulevard Léonard de Vinci,86062,0.363393,46.670502,1,FR*BSP*E86360FUTURHOTEL*01*OD,7,T2-E/F,Gratuit,24/7,Recharge par badge,2020/12/07,2021-07-02T12:01:17.080000,e6107e71-deae-4860-8cff-f9e60b46aa7f,null
null,null,FMD,BORNES SOLUTIONS,BSP,FR*BSP*P86360000000001,PARC DU FUTUROSCOPE,Boulevard Léonard de Vinci,86062,0.363393,46.670502,1,FR*BSP*E86360FUTURHOTEL*02*OD,7,T2-E/F,Gratuit,24/7,Recharge par badge,2020/12/07,2021-07-02T12:01:17.080000,e6107e71-deae-4860-8cff-f9e60b46aa7f,null
