BGT_CODRD,BGT_SECTION,BGT_NATURE_LABEL,BGT_CONTNAT,BGT_FONCTION,BGT_SIRET,BGT_COUT,BGT_OP_INVEST,BGT_OP_CPT_TIERS,BGT_OP_PLURI,BGT_NOM,BGT_MTREAL,last_modified,datagouv_resource_id,BGT_NATDEC,BGT_ANNEE,BGT_CONTNAT_LABEL,BGT_NATURE,BGT_FONCTION_LABEL,BGT_OPERATION,BGT_OPBUDG,BGT_MTBUDGPREC,BGT_MTRARPREC,BGT_MTPROPNOUV,BGT_MTPREV,BGT_CREDOUV,BGT_MTRAR3112,BGT_ARTSPE
dépense,investissement,001 - Solde exécution invest. reporté,001,01000,20005270200012,01,null,null,null,FINANCES,3134877.91,2021-02-18T15:12:10.446000,64f9c99c-db8d-4157-993e-5e317f9bf37b,null,null,null,null,null,null,null,null,null,null,null,null,null,null
dépense,investissement,23 - Immobilisations en cours,2316,02040,20005270200012,02040,4-2-78,null,4-2,PATRIMOINE,80000,2021-02-18T15:12:10.446000,64f9c99c-db8d-4157-993e-5e317f9bf37b,null,null,null,null,null,null,null,null,null,null,null,null,null,null
recette,investissement,040 - Opérat° ordre transfert entre sections,28031,32200,20005270200012,3221,301,null,null,FINANCES,2196.02,2021-02-18T15:12:10.446000,64f9c99c-db8d-4157-993e-5e317f9bf37b,null,null,null,null,null,null,null,null,null,null,null,null,null,null
recette,investissement,040 - Opérat° ordre transfert entre sections,28031,02000,20005270200012,0200,301,null,null,FINANCES,10554.26,2021-02-18T15:12:10.446000,64f9c99c-db8d-4157-993e-5e317f9bf37b,null,null,null,null,null,null,null,null,null,null,null,null,null,null
recette,investissement,040 - Opérat° ordre transfert entre sections,28031,01000,20005270200012,01,301,null,null,FINANCES,763.84,2021-02-18T15:12:10.446000,64f9c99c-db8d-4157-993e-5e317f9bf37b,null,null,null,null,null,null,null,null,null,null,null,null,null,null
recette,investissement,040 - Opérat° ordre transfert entre sections,2802,81000,20005270200012,810,301,null,null,FINANCES,31795.98,2021-02-18T15:12:10.446000,64f9c99c-db8d-4157-993e-5e317f9bf37b,null,null,null,null,null,null,null,null,null,null,null,null,null,null
recette,investissement,040 - Opérat° ordre transfert entre sections,2802,01000,20005270200012,01,301,null,null,FINANCES,204.02,2021-02-18T15:12:10.446000,64f9c99c-db8d-4157-993e-5e317f9bf37b,null,null,null,null,null,null,null,null,null,null,null,null,null,null
recette,investissement,024 - Produits des cessions d'immobilisations,024,81000,20005270200012,810,null,null,null,FINANCES,144200,2021-02-18T15:12:10.446000,64f9c99c-db8d-4157-993e-5e317f9bf37b,null,null,null,null,null,null,null,null,null,null,null,null,null,null
recette,investissement,021 - Virement de la sect° de fonctionnement,021,01000,20005270200012,01,null,null,null,FINANCES,1883432.33,2021-02-18T15:12:10.446000,64f9c99c-db8d-4157-993e-5e317f9bf37b,null,null,null,null,null,null,null,null,null,null,null,null,null,null
dépense,investissement,4581 - Opérations sous mandat,458101,81000,20005270200012,824,null,01,null,ENVIRONNEM,30000,2021-02-18T15:12:10.446000,64f9c99c-db8d-4157-993e-5e317f9bf37b,null,null,null,null,null,null,null,null,null,null,null,null,null,null
