COLL_NOM,COLL_SIRET,DELIB_ID,DELIB_DATE,DELIB_MATIERE_CODE,DELIB_MATIERE_NOM,DELIB_OBJET,BUDGET_ANNEE,BUDGET_NOM,PREF_ID,PREF_DATE,VOTE_EFFECTIF,VOTE_REEL,VOTE_POUR,VOTE_CONTRE,VOTE_ABSTENTION,DELIB_URL,last_modified,datagouv_resource_id,VOTE_ABSTENTION 
SIEEEN,25580118500018,058.BS.2019,2019-10-10,8.4,domaines de compétences par thèmes/Aménagement du territoire,Candidature AP hydrogène,2019,BPE - BUDGET PRINCIPAL ENERGIE,PREF058,2019-10-23,21,12,12,0,0,null,2020-02-14T09:20:28.167000,423ad745-43e3-4fd9-a342-c527d7ce4288,null
SIEEEN,25580118500018,083.CS.2019,2019-12-14,7.1,"finances locales/Décisions budgétaires (B.P., D.M., C.A. …)",Décisions modificatives 2019 Budget déchets ménagers,2019,BDM - BUDGET DECHETS MENAGERS,PREF058,2019-12-27,87,55,55,0,0,null,2020-02-14T09:20:28.167000,423ad745-43e3-4fd9-a342-c527d7ce4288,null
SIEEEN,25580118500018,091.CS.2019,2019-12-14,7.1,"finances locales/Décisions budgétaires (B.P., D.M., C.A. …)",Barèmes réseaux de distribution publique gaz,2020,BPE - BUDGET PRINCIPAL ENERGIE,PREF058,2019-12-27,87,55,55,0,0,null,2020-02-14T09:20:28.167000,423ad745-43e3-4fd9-a342-c527d7ce4288,null
SIEEEN,25580118500018,090.CS.2019,2019-12-14,7.1,"finances locales/Décisions budgétaires (B.P., D.M., C.A. …)",Barèmes réseaux bornes recharge véhicules électriques,2020,BPE - BUDGET PRINCIPAL ENERGIE,PREF058,2019-12-27,87,55,55,0,0,null,2020-02-14T09:20:28.167000,423ad745-43e3-4fd9-a342-c527d7ce4288,null
SIEEEN,25580118500018,089.CS.2019,2019-12-14,7.1,"finances locales/Décisions budgétaires (B.P., D.M., C.A. …)",Barèmes réseaux de distribution publique électricité,2020,BPE - BUDGET PRINCIPAL ENERGIE,PREF058,2019-12-27,87,55,55,0,0,null,2020-02-14T09:20:28.167000,423ad745-43e3-4fd9-a342-c527d7ce4288,null
SIEEEN,25580118500018,088.CS.2019,2019-12-14,7.1,"finances locales/Décisions budgétaires (B.P., D.M., C.A. …)",Budget principal régie de chaleur,2020,RRC - REGIE RESEAUX DE CHALEUR,PREF058,2019-12-27,87,55,55,0,0,null,2020-02-14T09:20:28.167000,423ad745-43e3-4fd9-a342-c527d7ce4288,null
SIEEEN,25580118500018,087.CS.2019,2019-12-14,7.1,"finances locales/Décisions budgétaires (B.P., D.M., C.A. …)",Budget annexe production décentralisée d'électricité,2020,BPR - BUDGET PRODUCTION ELECTRIQUE,PREF058,2019-12-27,87,55,55,0,0,null,2020-02-14T09:20:28.167000,423ad745-43e3-4fd9-a342-c527d7ce4288,null
SIEEEN,25580118500018,086.CS.2019,2019-12-14,7.1,"finances locales/Décisions budgétaires (B.P., D.M., C.A. …)",Budget annexe prestations de services,2020,BPS - BUDGET PRESTATIONS,PREF058,2019-12-27,87,55,55,0,0,null,2020-02-14T09:20:28.167000,423ad745-43e3-4fd9-a342-c527d7ce4288,null
SIEEEN,25580118500018,085.CS.2019,2019-12-14,7.1,"finances locales/Décisions budgétaires (B.P., D.M., C.A. …)",Budget annexe déchets ménagers,2020,BDM - BUDGET DECHETS MENAGERS,PREF058,2019-12-27,87,55,55,0,0,null,2020-02-14T09:20:28.167000,423ad745-43e3-4fd9-a342-c527d7ce4288,null
SIEEEN,25580118500018,084.CS.2019,2019-12-14,7.1,"finances locales/Décisions budgétaires (B.P., D.M., C.A. …)",Budget principal énergie,2020,BPE - BUDGET PRINCIPAL ENERGIE,PREF058,2019-12-27,87,55,55,0,0,null,2020-02-14T09:20:28.167000,423ad745-43e3-4fd9-a342-c527d7ce4288,null
