coll_nom,coll_siret,nature de la plage,plage en régie,COLL_NOM,COLL_SIRET,NOM,STATUT,REGIE,NUMERO_VOIE,NOM_VOIE,CODE_POSTAL,LIEU,ACCES_HANDICAP,LABEL_ HANDIPLAGE,EQUIPEMENTS,KIOSQUE VENTE A EMPORTER,INTERNET,DAT_DER_MAJ,last_modified,datagouv_resource_id,Geo Point,Geo Shape,Code Officiel Région,Code Officiel Département,Code Officiel Commune / Arrondissement Municipal,Code Officiel IRIS,Année,Type,Qualité du géocodage,Description,Catégorie,Nom Officiel Région,Nom Officiel Département,Nom Officiel EPCI,Nom Officiel Commune / Arrondissement Municipal,Code Iso 3166-3 Zone,Code Officiel EPCI
null,null,null,null,null,21760255600011,null,null,null,null,null,null,null,null,null,null,null,null,null,2021-02-19T09:30:48.407000,c25a78e4-b5e4-4854-b29a-5b222f4e57f6,"50.045449565,1.4189704662","{""type"": ""MultiPoint"", ""coordinates"": [[1.418970466198051, 50.045449565001846]]}",28,76,76255,762550101,2019,A120,Bonne,DRFiP (Direction régionale des Finances publiques),Services aux particuliers,Normandie,Seine-Maritime,CC des Villes Soeurs,Eu,FXX,247600588
null,null,null,null,null,21760255600011,null,null,null,null,null,null,null,null,null,null,null,null,null,2021-02-19T09:30:48.407000,c25a78e4-b5e4-4854-b29a-5b222f4e57f6,"50.0432120413,1.40558004673","{""type"": ""MultiPoint"", ""coordinates"": [[1.405580046729041, 50.04321204134149]]}",28,76,76255,762550102,2019,A505,Bonne,Agence immobilière,Services aux particuliers,Normandie,Seine-Maritime,CC des Villes Soeurs,Eu,FXX,247600588
null,null,null,null,null,21760255600011,null,null,null,null,null,null,null,null,null,null,null,null,null,2021-02-19T09:30:48.407000,c25a78e4-b5e4-4854-b29a-5b222f4e57f6,"50.0546718593,1.42368354177","{""type"": ""MultiPoint"", ""coordinates"": [[1.423683541774002, 50.05467185929365]]}",28,76,76255,762550103,2019,B102,Bonne,Supermarché,Commerces,Normandie,Seine-Maritime,CC des Villes Soeurs,Eu,FXX,247600588
null,null,null,null,null,21760255600011,null,null,null,null,null,null,null,null,null,null,null,null,null,2021-02-19T09:30:48.407000,c25a78e4-b5e4-4854-b29a-5b222f4e57f6,"50.0516210042,1.42093561249","{""type"": ""MultiPoint"", ""coordinates"": [[1.420935612492953, 50.05162100416784]]}",28,76,76255,762550101,2019,A507,Bonne,Institut de beauté-Onglerie,Services aux particuliers,Normandie,Seine-Maritime,CC des Villes Soeurs,Eu,FXX,247600588
null,null,null,null,null,21760255600011,null,null,null,null,null,null,null,null,null,null,null,null,null,2021-02-19T09:30:48.407000,c25a78e4-b5e4-4854-b29a-5b222f4e57f6,"50.0487729346,1.41843993394","{""type"": ""MultiPoint"", ""coordinates"": [[1.41843993393959, 50.048772934617766]]}",28,76,76255,762550101,2019,F306,Bonne,Théâtre-Arts de rue-Pôle cirque,"Sports, loisirs et culture",Normandie,Seine-Maritime,CC des Villes Soeurs,Eu,FXX,247600588
null,null,null,null,null,21760255600011,null,null,null,null,null,null,null,null,null,null,null,null,null,2021-02-19T09:30:48.407000,c25a78e4-b5e4-4854-b29a-5b222f4e57f6,"50.0552699165,1.4099100003","{""type"": ""MultiPoint"", ""coordinates"": [[1.409910000301221, 50.055269916516444]]}",28,76,76255,762550101,2019,F103,Bonne,Tennis,"Sports, loisirs et culture",Normandie,Seine-Maritime,CC des Villes Soeurs,Eu,FXX,247600588
null,null,null,null,null,21760255600011,null,null,null,null,null,null,null,null,null,null,null,null,null,2021-02-19T09:30:48.407000,c25a78e4-b5e4-4854-b29a-5b222f4e57f6,"50.0572649714,1.4131113461","{""type"": ""MultiPoint"", ""coordinates"": [[1.413111346100239, 50.05726497140884]]}",28,76,76255,762550103,2019,B308,Bonne,Magasin de revêtements murs et sols,Commerces,Normandie,Seine-Maritime,CC des Villes Soeurs,Eu,FXX,247600588
null,null,null,null,null,21760255600011,null,null,null,null,null,null,null,null,null,null,null,null,null,2021-02-19T09:30:48.407000,c25a78e4-b5e4-4854-b29a-5b222f4e57f6,"50.0511327153,1.42123190489","{""type"": ""MultiPoint"", ""coordinates"": [[1.421231904885032, 50.051132715349]]}",28,76,76255,762550101,2019,A205,Bonne,Pompes funèbres,Services aux particuliers,Normandie,Seine-Maritime,CC des Villes Soeurs,Eu,FXX,247600588
null,null,null,null,null,21760255600011,null,null,null,null,null,null,null,null,null,null,null,null,null,2021-02-19T09:30:48.407000,c25a78e4-b5e4-4854-b29a-5b222f4e57f6,"50.0583612307,1.41318358663","{""type"": ""MultiPoint"", ""coordinates"": [[1.413183586625607, 50.05836123066455]]}",28,76,76255,762550103,2019,B306,Bonne,Magasin de meubles,Commerces,Normandie,Seine-Maritime,CC des Villes Soeurs,Eu,FXX,247600588
null,null,null,null,null,21760255600011,null,null,null,null,null,null,null,null,null,null,null,null,null,2021-02-19T09:30:48.407000,c25a78e4-b5e4-4854-b29a-5b222f4e57f6,"50.0678329957,1.42676909929","{""type"": ""MultiPoint"", ""coordinates"": [[1.426769099291409, 50.06783299570658]]}",28,76,76255,762550102,2019,A304,Bonne,École de conduite,Services aux particuliers,Normandie,Seine-Maritime,CC des Villes Soeurs,Eu,FXX,247600588
