id,name,postal_code,commune,numero,voie,lieu_dit,code_insee,siret,contact_url,site_internet,longitude,latitude,transport_station_presence,stationnement_presence,stationnement_pmr,stationnement_ext_presence,stationnement_ext_pmr,cheminement_ext_presence,cheminement_ext_ascenseur,entree_ascenseur,accueil_cheminement_ascenseur,cheminement_ext_terrain_accidente,cheminement_ext_plain_pied,cheminement_ext_nombre_marches,cheminement_ext_reperage_marches,cheminement_ext_sens_marches,cheminement_ext_main_courante,cheminement_ext_rampe,cheminement_ext_pente_presence,cheminement_ext_pente_degre_difficulte,cheminement_ext_pente_longueur,cheminement_ext_devers,cheminement_ext_bande_guidage,cheminement_ext_retrecissement,entree_reperage,entree_vitree,entree_vitree_vitrophanie,entree_plain_pied,entree_marches,entree_marches_reperage,entree_marches_main_courante,entree_marches_rampe,entree_marches_sens,entree_dispositif_appel,entree_dispositif_appel_type,entree_balise_sonore,entree_aide_humaine,entree_largeur_mini,entree_pmr,entree_porte_presence,entree_porte_manoeuvre,entree_porte_type,accueil_visibilite,accueil_personnels,accueil_equipements_malentendants_presence,accueil_equipements_malentendants,accueil_cheminement_plain_pied,accueil_cheminement_nombre_marches,accueil_cheminement_reperage_marches,accueil_cheminement_main_courante,accueil_cheminement_rampe,accueil_cheminement_sens_marches,accueil_retrecissement,sanitaires_presence,sanitaires_adaptes,labels,labels_familles_handicap,registre_url,conformite,last_modified,datagouv_dataset_id,datagouv_resource_id,datagouv_organization_or_owner
1500,La Foux,06130,Grasse,,Avenue du Maréchal Juin,,,32022964405241,https://fr.parkindigo.com/parking/grasse-06130/la-foux-06010400,https://fr.parkindigo.com/parking/grasse-06130/la-foux-06010400,6.9219748,43.66091118,,True,False,True,,True,False,False,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2021-07-19T17:57:30.027000,60f5a0e8a803e000b3404e6c,543d78b2-6f94-4842-bab1-e43a7af9d2dc,indigo-group
2035,Lieusaint,77127,Lieusaint,,Avenue René Cassin,,,32022964405241,https://fr.parkindigo.com/parking/lieusaint-77127/lieusaint-77070300,https://fr.parkindigo.com/parking/lieusaint-77127/lieusaint-77070300,2.568364,48.62898,,True,False,True,,True,False,False,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2021-07-19T17:57:30.027000,60f5a0e8a803e000b3404e6c,543d78b2-6f94-4842-bab1-e43a7af9d2dc,indigo-group
2064,Parking Aquaboulevard,75015,Paris,46,4-6 Rue Louis Armand,,,32022964405241,https://fr.parkindigo.com/parking/paris-75015/aquaboulevard-75150400,https://fr.parkindigo.com/parking/paris-75015/aquaboulevard-75150400,2.27760176,48.83300608,,True,False,True,,True,False,False,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2021-07-19T17:57:30.027000,60f5a0e8a803e000b3404e6c,543d78b2-6f94-4842-bab1-e43a7af9d2dc,indigo-group
2059,Provence,95100,Argenteuil,,Rue Coudray,,,32022964405241,https://fr.parkindigo.com/parking/argenteuil-95100/provence-95070300,https://fr.parkindigo.com/parking/argenteuil-95100/provence-95070300,2.22953143,48.95421861,,True,False,True,,True,False,False,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2021-07-19T17:57:30.027000,60f5a0e8a803e000b3404e6c,543d78b2-6f94-4842-bab1-e43a7af9d2dc,indigo-group
2057,Hôtel de Ville,14000,Caen,16,Place Guillouard,,,32022964405241,https://fr.parkindigo.com/parking/caen-14000/hotel-de-ville-14000200,https://fr.parkindigo.com/parking/caen-14000/hotel-de-ville-14000200,-0.36973321,49.18116573,,True,False,True,,True,True,True,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2021-07-19T17:57:30.027000,60f5a0e8a803e000b3404e6c,543d78b2-6f94-4842-bab1-e43a7af9d2dc,indigo-group
2056,Fontaine du Roy,92410,Ville-d'Avray,6,Rue de Saint-Cloud,,,32022964405241,https://fr.parkindigo.com/parking/ville-d-avray-92410/fontaine-du-roy-92210200,https://fr.parkindigo.com/parking/ville-d-avray-92410/fontaine-du-roy-92210200,2.18877,48.82754,,True,False,True,,True,False,False,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2021-07-19T17:57:30.027000,60f5a0e8a803e000b3404e6c,543d78b2-6f94-4842-bab1-e43a7af9d2dc,indigo-group
2048,Brico Dépôt,76000,Rouen,,Avenue du Mont Riboudet,,,32022964405241,https://fr.parkindigo.com/parking/rouen-76000/brico-depot-76001500,https://fr.parkindigo.com/parking/rouen-76000/brico-depot-76001500,1.07384885,49.44513451,,True,False,True,,True,False,False,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2021-07-19T17:57:30.027000,60f5a0e8a803e000b3404e6c,543d78b2-6f94-4842-bab1-e43a7af9d2dc,indigo-group
2046,La Pucelle,76000,Rouen,,Rue André Gide,,,32022964405241,https://fr.parkindigo.com/parking/rouen-76000/la-pucelle-76000300,https://fr.parkindigo.com/parking/rouen-76000/la-pucelle-76000300,1.08838701,49.44112778,,True,False,True,,True,True,True,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2021-07-19T17:57:30.027000,60f5a0e8a803e000b3404e6c,543d78b2-6f94-4842-bab1-e43a7af9d2dc,indigo-group
2044,Saint-Marc,76000,Rouen,,Place Saint-Marc,,,32022964405241,https://fr.parkindigo.com/parking/rouen-76000/saint-marc-76000600,https://fr.parkindigo.com/parking/rouen-76000/saint-marc-76000600,1.10157299,49.43852234,,True,False,True,,True,True,True,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2021-07-19T17:57:30.027000,60f5a0e8a803e000b3404e6c,543d78b2-6f94-4842-bab1-e43a7af9d2dc,indigo-group
2043,Grand Siècle,78000,Versailles,79,7/9 Boulevard des Jeux Olympiques Sud,,,32022964405241,https://fr.parkindigo.com/parking/versailles-78000/grand-siecle-78021200,https://fr.parkindigo.com/parking/versailles-78000/grand-siecle-78021200,2.15769846,48.80412997,,True,False,True,,True,True,True,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2021-07-19T17:57:30.027000,60f5a0e8a803e000b3404e6c,543d78b2-6f94-4842-bab1-e43a7af9d2dc,indigo-group
