nom_amenageur,siren_amenageur,contact_amenageur,nom_operateur,contact_operateur,telephone_operateur,nom_enseigne,id_station_itinerance,id_station_local,nom_station,implantation_station,adresse_station,code_insee_commune,coordonneesXY,nbre_pdc,id_pdc_itinerance,id_pdc_local,puissance_nominale,prise_type_ef,prise_type_2,prise_type_combo_ccs,prise_type_chademo,prise_type_autre,gratuit,paiement_acte,paiement_cb,paiement_autre,tarification,condition_acces,reservation,horaires,accessibilite_pmr,restriction_gabarit,station_deux_roues,raccordement,num_pdl,date_mise_en_service,observations,date_maj,last_modified,datagouv_dataset_id,datagouv_resource_id,datagouv_organization_or_owner
SAS PRIMARD,842019317,gael.tulic@domainedefontenille.com,WAAT,g.uppilirajan@waat.fr,146421897,RÃ©seau de recharge SAS PRIMARD,Non concerné,61081,GUAINVILLE,Parking privé à usage public,1 Rue de Bueil 28260 Guainville,28269,"[48.919138,1.4431105]",4,FRWATE61081,01FC30EDMFXMB1P0AX34AJ79MT,22,TRUE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,,Accès libre,FALSE,24/7,Accessible mais non réservé PMR,2m,FALSE,Direct,50038584949635,2021-05-19,,2021-06-14,2021-08-24T10:25:21.665000,610bad0eb0b14f1f952a6549,4ad03f4d-93d6-46df-a589-41bb161d7257,waat
SAS PRIMARD,842019317,gael.tulic@domainedefontenille.com,WAAT,g.uppilirajan@waat.fr,146421897,RÃ©seau de recharge SAS PRIMARD,Non concerné,61081,GUAINVILLE,Parking privé à usage public,1 Rue de Bueil 28260 Guainville,28269,"[48.919138,1.4431105]",4,FRWATE61080,01FC3165039QS5A8PHYNWQEXM0,22,TRUE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,,Accès libre,FALSE,24/7,Accessible mais non réservé PMR,2m,FALSE,Direct,50038584949635,2021-05-20,,2021-06-14,2021-08-24T10:25:21.665000,610bad0eb0b14f1f952a6549,4ad03f4d-93d6-46df-a589-41bb161d7257,waat
SAS PRIMARD,842019318,gael.tulic@domainedefontenille.com,WAAT,g.uppilirajan@waat.fr,146421898,RÃ©seau de recharge SAS PRIMARD,Non concerné,61082,GUAINVILLE,Parking privé à usage public,1 Rue de Bueil 28260 Guainville,28270,"[48.919138,1.4431105]",5,FRWATE61079,01FC3165039QS5A8PHYNWQEXM1,22,TRUE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,,Accès libre,FALSE,24/7,Accessible mais non réservé PMR,2m,FALSE,Direct,50038584949635,2021-05-20,,2021-06-14,2021-08-24T10:25:21.665000,610bad0eb0b14f1f952a6549,4ad03f4d-93d6-46df-a589-41bb161d7257,waat
SAS PRIMARD,842019319,gael.tulic@domainedefontenille.com,WAAT,g.uppilirajan@waat.fr,146421899,RÃ©seau de recharge SAS PRIMARD,Non concerné,61083,GUAINVILLE,Parking privé à usage public,1 Rue de Bueil 28260 Guainville,28271,"[48.919138,1.4431105]",6,FRWATE56851,01FC3165039QS5A8PHYNWQEXM2,22,TRUE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,,Accès libre,FALSE,24/7,Accessible mais non réservé PMR,2m,FALSE,Direct,50038584949635,2021-05-20,,2021-06-14,2021-08-24T10:25:21.665000,610bad0eb0b14f1f952a6549,4ad03f4d-93d6-46df-a589-41bb161d7257,waat
SDEC ENERGIE,200045938,energie@sdec-energie.fr,IZIVIA,contact@mobisdec.fr,02 61 53 62 14,Mobisdec,FRS14ESDEC1801,FR*T14*P*ET201,HUBERT-FOLIE Rue des Tilleuls ,Parking public,Rue des Tilleuls 14540 HUBERT FOLIE,14339,"[49.127816,-0.316764]",2,FRS14ESDEC18012,FR*T14*E*ET2012,22,true,true,false,false,false,false,true,false,true,"Recharge d'une puissance inférieure ou égale à 4 kVa 1,3 cts €/mim
Recharge d'une puissance supérieure à 4 Kva et inférieure ou égale à 8 kVa 2,6 cts €/mim
Recharge d'une puissance supérieure à 8 kVa et inférieure ou égale à 15 kVa 5,2 cts €/mim
Recharge d'une puissance supérieure à 15 kVa et inférieure ou égale à 30 kVa 7,8 cts €/mim
Recharge d'une puissance supérieure à 30 kVa et inférieure ou égale à 55 kVa 26 cts €/mim
Recharge d'une puissance supérieure à 55kVa 45 cts €/mim
Majoration pour immobilisation du service (recharge terminée et véhicule encore branché) 10 cts €/mim",Accès libre,false,24/7,Accessibilité inconnue,Aucune restriction,false,Direct,02494790049990,2017-03-28,"présence de prise EF  rechargement possible par badge rfid local ou itinérant renseignement sur site ""Modisdec.fr""",2021-07-16,2021-08-23T14:54:23.962000,57a4422988ee383ec3d73ff5,19d019d4-f914-48d1-9ca9-c5630e1f7617,alban-raffray
SDEC ENERGIE,200045938,energie@sdec-energie.fr,IZIVIA,contact@mobisdec.fr,02 61 53 62 14,Mobisdec,FRS14ESDEC351,FR*T14*P*ET174,GLOS Rue d'Orbec ,Parking public,Rue d'Orbec 14100 GLOS,14303,"[49.1245711,0.2769813]",2,FRS14ESDEC3511,FR*T14*E*ET1741,22,true,false,false,false,false,false,true,false,true,"Recharge d'une puissance inférieure ou égale à 4 kVa 1,3 cts €/mim
Recharge d'une puissance supérieure à 4 Kva et inférieure ou égale à 8 kVa 2,6 cts €/mim
Recharge d'une puissance supérieure à 8 kVa et inférieure ou égale à 15 kVa 5,2 cts €/mim
Recharge d'une puissance supérieure à 15 kVa et inférieure ou égale à 30 kVa 7,8 cts €/mim
Recharge d'une puissance supérieure à 30 kVa et inférieure ou égale à 55 kVa 26 cts €/mim
Recharge d'une puissance supérieure à 55kVa 45 cts €/mim
Majoration pour immobilisation du service (recharge terminée et véhicule encore branché) 10 cts €/mim",Accès libre,false,24/7,Accessibilité inconnue,Aucune restriction,false,Direct,02403907272098,2016-11-04,"présence de prise EF et T3 rechargement possible par badge rfid local ou itinérant renseignement sur site ""Modisdec.fr""",2021-07-16,2021-08-23T14:54:23.962000,57a4422988ee383ec3d73ff5,19d019d4-f914-48d1-9ca9-c5630e1f7617,alban-raffray
SDEC ENERGIE,200045938,energie@sdec-energie.fr,IZIVIA,contact@mobisdec.fr,02 61 53 62 14,Mobisdec,FRS14ESDEC1671,FR*T14*P*ET177,LE MESNIL-PATRY Rue de Brouay ,Parking public,Rue de Brouay 14740 LE MESNIL PATRY,14423,"[49.1951964,-0.5451984]",2,FRS14ESDEC16711,FR*T14*E*ET1771,22,true,false,false,false,false,false,true,false,true,"Recharge d'une puissance inférieure ou égale à 4 kVa 1,3 cts €/mim
Recharge d'une puissance supérieure à 4 Kva et inférieure ou égale à 8 kVa 2,6 cts €/mim
Recharge d'une puissance supérieure à 8 kVa et inférieure ou égale à 15 kVa 5,2 cts €/mim
Recharge d'une puissance supérieure à 15 kVa et inférieure ou égale à 30 kVa 7,8 cts €/mim
Recharge d'une puissance supérieure à 30 kVa et inférieure ou égale à 55 kVa 26 cts €/mim
Recharge d'une puissance supérieure à 55kVa 45 cts €/mim
Majoration pour immobilisation du service (recharge terminée et véhicule encore branché) 10 cts €/mim",Accès libre,false,24/7,Accessibilité inconnue,Aucune restriction,false,Direct,02493777025970,2016-11-03,"présence de prise EF et T3 rechargement possible par badge rfid local ou itinérant renseignement sur site ""Modisdec.fr""",2021-07-16,2021-08-23T14:54:23.962000,57a4422988ee383ec3d73ff5,19d019d4-f914-48d1-9ca9-c5630e1f7617,alban-raffray
SDEC ENERGIE,200045938,energie@sdec-energie.fr,IZIVIA,contact@mobisdec.fr,02 61 53 62 14,Mobisdec,FRS14ESDEC671,FR*T14*P*ET176,MONDEVILLE Rue Emile Zola ,Voirie,Rue Emile Zola 14120 MONDEVILLE,14437,"[49.172173,-0.318416]",2,FRS14ESDEC6712,FR*T14*E*ET1762,22,true,true,false,false,false,false,true,false,true,"Recharge d'une puissance inférieure ou égale à 4 kVa 1,3 cts €/mim
Recharge d'une puissance supérieure à 4 Kva et inférieure ou égale à 8 kVa 2,6 cts €/mim
Recharge d'une puissance supérieure à 8 kVa et inférieure ou égale à 15 kVa 5,2 cts €/mim
Recharge d'une puissance supérieure à 15 kVa et inférieure ou égale à 30 kVa 7,8 cts €/mim
Recharge d'une puissance supérieure à 30 kVa et inférieure ou égale à 55 kVa 26 cts €/mim
Recharge d'une puissance supérieure à 55kVa 45 cts €/mim
Majoration pour immobilisation du service (recharge terminée et véhicule encore branché) 10 cts €/mim",Accès libre,false,24/7,Accessibilité inconnue,Aucune restriction,false,Direct,02490448517180,2016-10-13,"présence de prise EF  rechargement possible par badge rfid local ou itinérant renseignement sur site ""Modisdec.fr""",2021-07-16,2021-08-23T14:54:23.962000,57a4422988ee383ec3d73ff5,19d019d4-f914-48d1-9ca9-c5630e1f7617,alban-raffray
SDEC ENERGIE,200045938,energie@sdec-energie.fr,IZIVIA,contact@mobisdec.fr,02 61 53 62 14,Mobisdec,FRS14ESDEC671,FR*T14*P*ET176,MONDEVILLE Rue Emile Zola ,Voirie,Rue Emile Zola 14120 MONDEVILLE,14437,"[49.172173,-0.318416]",2,FRS14ESDEC6711,FR*T14*E*ET1761,22,true,false,false,false,false,false,true,false,true,"Recharge d'une puissance inférieure ou égale à 4 kVa 1,3 cts €/mim
Recharge d'une puissance supérieure à 4 Kva et inférieure ou égale à 8 kVa 2,6 cts €/mim
Recharge d'une puissance supérieure à 8 kVa et inférieure ou égale à 15 kVa 5,2 cts €/mim
Recharge d'une puissance supérieure à 15 kVa et inférieure ou égale à 30 kVa 7,8 cts €/mim
Recharge d'une puissance supérieure à 30 kVa et inférieure ou égale à 55 kVa 26 cts €/mim
Recharge d'une puissance supérieure à 55kVa 45 cts €/mim
Majoration pour immobilisation du service (recharge terminée et véhicule encore branché) 10 cts €/mim",Accès libre,false,24/7,Accessibilité inconnue,Aucune restriction,false,Direct,02490448517180,2016-10-13,"présence de prise EF et T3 rechargement possible par badge rfid local ou itinérant renseignement sur site ""Modisdec.fr""",2021-07-16,2021-08-23T14:54:23.962000,57a4422988ee383ec3d73ff5,19d019d4-f914-48d1-9ca9-c5630e1f7617,alban-raffray
SDEC ENERGIE,200045938,energie@sdec-energie.fr,IZIVIA,contact@mobisdec.fr,02 61 53 62 14,Mobisdec,FRS14ESDEC401,FR*T14*P*ET175,MAROLLES Chemin du puit ,Parking public,Chemin du puit 14100 MAROLLES,14403,"[49.1383204,0.371768]",2,FRS14ESDEC4012,FR*T14*E*ET1752,22,true,true,false,false,false,false,true,false,true,"Recharge d'une puissance inférieure ou égale à 4 kVa 1,3 cts €/mim
Recharge d'une puissance supérieure à 4 Kva et inférieure ou égale à 8 kVa 2,6 cts €/mim
Recharge d'une puissance supérieure à 8 kVa et inférieure ou égale à 15 kVa 5,2 cts €/mim
Recharge d'une puissance supérieure à 15 kVa et inférieure ou égale à 30 kVa 7,8 cts €/mim
Recharge d'une puissance supérieure à 30 kVa et inférieure ou égale à 55 kVa 26 cts €/mim
Recharge d'une puissance supérieure à 55kVa 45 cts €/mim
Majoration pour immobilisation du service (recharge terminée et véhicule encore branché) 10 cts €/mim",Accès libre,false,24/7,Accessibilité inconnue,Aucune restriction,false,Direct,02421707561310,2016-11-03,"présence de prise EF  rechargement possible par badge rfid local ou itinérant renseignement sur site ""Modisdec.fr""",2021-07-16,2021-08-23T14:54:23.962000,57a4422988ee383ec3d73ff5,19d019d4-f914-48d1-9ca9-c5630e1f7617,alban-raffray
