id_lieu,nom_lieu,ad_lieu,com_lieu,insee,type,date_maj,ouvert,source,Xlong,Ylat,nbre_pl,nbre_pmr,duree,horaires,proprio,lumiere,comm,last_modified,datagouv_dataset_id,datagouv_resource_id,datagouv_organization_or_owner
85306-C-001,Portes du Marais Poitevin,La Chicane,Xanton-Chassenon,85306,Aire de covoiturage,2021-08-08,true,248500563,-0.7110904,46.4223937,22,1,,,CC Vendée Sèvre Autise,true,non,2021-09-13T12:01:29.307000,613f21786d28c35fda321f36,6edb0f7c-b50e-41c0-a470-e278535cbc84,pau-espadale
35229-C-090,La Massais,D777 - C6,Pocé-Les-Bois,35229,Aire de covoiturage,2021-06-08,true,110002011,-1.22735794174372,48.0959211355256,15,0,,,,false,,2021-07-22T13:14:14.384000,60f953050a89f0c4d3111811,8d941d59-6be2-42df-8505-d9d035ab91ff,ddtm-ille-et-vilaine
35219-C-040,La Secouette,Echangeur D177 x D59,Pipriac,35219,Aire de covoiturage,2021-06-08,true,110002011,-1.92760078462441,47.7817320725771,12,0,,,,false,,2021-07-22T13:14:14.384000,60f953050a89f0c4d3111811,8d941d59-6be2-42df-8505-d9d035ab91ff,ddtm-ille-et-vilaine
35219-C-041,Le Fouteau,Echangeur D117 x D777,Pipriac,35219,Aire de covoiturage,2021-06-08,true,110002011,-1.91846850286215,47.8163692467306,30,0,,,,false,,2021-07-22T13:14:14.384000,60f953050a89f0c4d3111811,8d941d59-6be2-42df-8505-d9d035ab91ff,ddtm-ille-et-vilaine
35220-C-171,Le ballon,Le Ballon,Piré-sur-Seiche,35220,Aire de covoiturage,2021-06-08,true,110002011,-1.39939148093098,48.0236678586756,0,0,,,,false,,2021-07-22T13:14:14.384000,60f953050a89f0c4d3111811,8d941d59-6be2-42df-8505-d9d035ab91ff,ddtm-ille-et-vilaine
35223-C-100,Aire multimodale de Plélan-le-Grand,Rue des Korrigans,Plélan-le-Grand,35223,Aire de covoiturage,2021-06-08,true,110002011,-2.089132793124,48.0065066650909,,1,,,,true,,2021-07-22T13:14:14.384000,60f953050a89f0c4d3111811,8d941d59-6be2-42df-8505-d9d035ab91ff,ddtm-ille-et-vilaine
35223-C-172,Tregu,Tregu,Plélan-le-Grand,35223,Aire de covoiturage,2021-06-08,true,110002011,-2.08493329878114,48.0036080784291,11,0,,,,true,,2021-07-22T13:14:14.384000,60f953050a89f0c4d3111811,8d941d59-6be2-42df-8505-d9d035ab91ff,ddtm-ille-et-vilaine
35226-C-173,Pleugueneuc,Echangeur D137,Pleugueneuc,35226,Aire de covoiturage,2021-06-08,true,110002011,-1.90637866673174,48.406461084601,12,0,,,,false,,2021-07-22T13:14:14.384000,60f953050a89f0c4d3111811,8d941d59-6be2-42df-8505-d9d035ab91ff,ddtm-ille-et-vilaine
35227-C-175,Le Plessix blanc,Le Plessix blanc,Pleumeleuc,35227,Aire de covoiturage,2021-06-08,true,110002011,-1.92140337176171,48.174925033869,40,1,,,,true,,2021-07-22T13:14:14.384000,60f953050a89f0c4d3111811,8d941d59-6be2-42df-8505-d9d035ab91ff,ddtm-ille-et-vilaine
35231-C-106,POLIGNE,Rue de Rennes,POLIGNE,35231,Aire de covoiturage,2021-06-08,true,110002011,-1.68709046317441,47.8890792131391,35,0,,,,false,,2021-07-22T13:14:14.384000,60f953050a89f0c4d3111811,8d941d59-6be2-42df-8505-d9d035ab91ff,ddtm-ille-et-vilaine
