id,nom,insee,geopoint,adresse,emplacements,no_appel,info,last_modified,datagouv_dataset_id,datagouv_resource_id,datagouv_organization_or_owner
06004-T-002,Juan Gare,06004,"7.06425, 43.34146",avenue de l'esterel,,,,2021-09-13T17:20:08.894000,60911729a640b4d970a794d0,5d663912-f57c-4e7f-9db7-1c2cc13cf679,le-taxi
69123-T-083,TAX603,69123,"4.84487, 45.7767679990572",Place Général Leclerc,6,,,2021-09-13T17:20:08.894000,60911729a640b4d970a794d0,5d663912-f57c-4e7f-9db7-1c2cc13cf679,le-taxi
69123-T-081,TAX604,69123,"4.842826, 45.7686029990571",Place Maréchal Lyautey,6,,,2021-09-13T17:20:08.894000,60911729a640b4d970a794d0,5d663912-f57c-4e7f-9db7-1c2cc13cf679,le-taxi
69123-T-080,TAX602,69123,"4.853856, 45.7696569990571","39, Cours Vitton",4,,,2021-09-13T17:20:08.894000,60911729a640b4d970a794d0,5d663912-f57c-4e7f-9db7-1c2cc13cf679,le-taxi
69123-T-079,TAXVIL01,69123,"4.86371, 45.7709519990572","21, Rue Gabriel Péri",6,,,2021-09-13T17:20:08.894000,60911729a640b4d970a794d0,5d663912-f57c-4e7f-9db7-1c2cc13cf679,le-taxi
69123-T-078,TAX701,69123,"4.835581, 45.7493089990571","3, Rue Jaboulay",7,,,2021-09-13T17:20:08.894000,60911729a640b4d970a794d0,5d663912-f57c-4e7f-9db7-1c2cc13cf679,le-taxi
69123-T-077,TAX707,69123,"4.841933, 45.7463349990571","16, Place Jean Macé",10,,,2021-09-13T17:20:08.894000,60911729a640b4d970a794d0,5d663912-f57c-4e7f-9db7-1c2cc13cf679,le-taxi
69123-T-076,TAXVIL04,69123,"4.909076, 45.7639679990571",dépose minute Bonnevay,3,,,2021-09-13T17:20:08.894000,60911729a640b4d970a794d0,5d663912-f57c-4e7f-9db7-1c2cc13cf679,le-taxi
69123-T-075,TAXCAL01,69123,"4.847985, 45.7998899990572",Place de L'église,4,,,2021-09-13T17:20:08.894000,60911729a640b4d970a794d0,5d663912-f57c-4e7f-9db7-1c2cc13cf679,le-taxi
69123-T-074,TAX401,69123,"4.831099, 45.7744549990572","159, Boulevard de la Croix-Rousse",8,,,2021-09-13T17:20:08.894000,60911729a640b4d970a794d0,5d663912-f57c-4e7f-9db7-1c2cc13cf679,le-taxi
69123-T-073,TAXRIL01,69123,"4.894392, 45.8145799990572","Face 30, Avenue de l'Europe",2,,,2021-09-13T17:20:08.894000,60911729a640b4d970a794d0,5d663912-f57c-4e7f-9db7-1c2cc13cf679,le-taxi
69123-T-072,TAXCAL02,69123,"4.833963, 45.7863159990572",Chemin du Penthod,5,,,2021-09-13T17:20:08.894000,60911729a640b4d970a794d0,5d663912-f57c-4e7f-9db7-1c2cc13cf679,le-taxi
69123-T-071,TAX500,69123,"4.812657, 45.7579679990571",Place de Trion,4,,,2021-09-13T17:20:08.894000,60911729a640b4d970a794d0,5d663912-f57c-4e7f-9db7-1c2cc13cf679,le-taxi
69123-T-070,TAX502,69123,"4.827844, 45.7661079990571","6, Rue Octavio Mey",4,,,2021-09-13T17:20:08.894000,60911729a640b4d970a794d0,5d663912-f57c-4e7f-9db7-1c2cc13cf679,le-taxi
69123-T-069,TAX505,69123,"4.796574, 45.7562469990571","3, Rue Joliot Curie",5,,,2021-09-13T17:20:08.894000,60911729a640b4d970a794d0,5d663912-f57c-4e7f-9db7-1c2cc13cf679,le-taxi
69123-T-068,TAX504,69123,"4.821231, 45.7591679990571","6, Rue de l'Antiquaille",3,,,2021-09-13T17:20:08.894000,60911729a640b4d970a794d0,5d663912-f57c-4e7f-9db7-1c2cc13cf679,le-taxi
69123-T-067,TAX501,69123,"4.828835, 45.7624039990571","21, Quai Romain Rolland",4,,,2021-09-13T17:20:08.894000,60911729a640b4d970a794d0,5d663912-f57c-4e7f-9db7-1c2cc13cf679,le-taxi
69123-T-066,TAX402,69123,"4.835988, 45.7784149990572","12, Rue Gigodot",2,,,2021-09-13T17:20:08.894000,60911729a640b4d970a794d0,5d663912-f57c-4e7f-9db7-1c2cc13cf679,le-taxi
69123-T-065,TAX400,69123,"4.821589, 45.7734249990572","1, Rue Philibert Roussy",3,,,2021-09-13T17:20:08.894000,60911729a640b4d970a794d0,5d663912-f57c-4e7f-9db7-1c2cc13cf679,le-taxi
69123-T-064,TAX300,69123,"4.867301, 45.7543789990571",Place Rouget de L'Isle,3,,,2021-09-13T17:20:08.894000,60911729a640b4d970a794d0,5d663912-f57c-4e7f-9db7-1c2cc13cf679,le-taxi
69123-T-063,TAX307,69123,"4.851195, 45.7619899990571","74, Rue de Bonnel",5,,,2021-09-13T17:20:08.894000,60911729a640b4d970a794d0,5d663912-f57c-4e7f-9db7-1c2cc13cf679,le-taxi
69123-T-062,TAX301,69123,"4.861573, 45.7605189990571","42, Rue de la Villette",12,,,2021-09-13T17:20:08.894000,60911729a640b4d970a794d0,5d663912-f57c-4e7f-9db7-1c2cc13cf679,le-taxi
69123-T-061,TAX304,69123,"4.857677, 45.7620949990571","12, Boulevard Marius Vivier-Merle",7,,,2021-09-13T17:20:08.894000,60911729a640b4d970a794d0,5d663912-f57c-4e7f-9db7-1c2cc13cf679,le-taxi
69123-T-060,TAX305,69123,"4.85944, 45.7603929990572",Gare de la Part-Dieu,12,,,2021-09-13T17:20:08.894000,60911729a640b4d970a794d0,5d663912-f57c-4e7f-9db7-1c2cc13cf679,le-taxi
69123-T-059,TAX308,69123,"4.856125, 45.7594509990571",Rue des Cuirassiers,6,,,2021-09-13T17:20:08.894000,60911729a640b4d970a794d0,5d663912-f57c-4e7f-9db7-1c2cc13cf679,le-taxi
69123-T-082,TAX600,69123,"4.85436, 45.7856819990572","50, Quai Charles de Gaulle",6,,,2021-09-13T17:20:08.894000,60911729a640b4d970a794d0,5d663912-f57c-4e7f-9db7-1c2cc13cf679,le-taxi
69123-T-084,TAXBRO03,69123,"4.917215, 45.7379769990571","74, Avenue Ferdinand Buisson",2,,,2021-09-13T17:20:08.894000,60911729a640b4d970a794d0,5d663912-f57c-4e7f-9db7-1c2cc13cf679,le-taxi
69123-T-004,TAXVIL03,69123,"4.90643, 45.7605549990571","158, Rue Léon Blum",4,,,2021-09-13T17:20:08.894000,60911729a640b4d970a794d0,5d663912-f57c-4e7f-9db7-1c2cc13cf679,le-taxi
69123-T-085,TAX801,69123,"4.868697, 45.7369599990571","Face 5, Rue Marius Berliet",3,,,2021-09-13T17:20:08.894000,60911729a640b4d970a794d0,5d663912-f57c-4e7f-9db7-1c2cc13cf679,le-taxi
69123-T-108,TAXVIL02,69123,"4.86524, 45.7765279990572","45, Avenue Galline",6,,,2021-09-13T17:20:08.894000,60911729a640b4d970a794d0,5d663912-f57c-4e7f-9db7-1c2cc13cf679,le-taxi
69123-T-107,TAX904,69123,"4.812555, 45.7880699990572","Face 8, Rue de la Navigation",4,,,2021-09-13T17:20:08.894000,60911729a640b4d970a794d0,5d663912-f57c-4e7f-9db7-1c2cc13cf679,le-taxi
69123-T-106,TAX703,69123,"4.8259, 45.7320769990571","16, Place Docteurs Charles et Christophe Mérieux",10,,,2021-09-13T17:20:08.894000,60911729a640b4d970a794d0,5d663912-f57c-4e7f-9db7-1c2cc13cf679,le-taxi
69123-T-105,TAX902,69123,"4.803956, 45.7793329990572",Rue Roger Salengro,5,,,2021-09-13T17:20:08.894000,60911729a640b4d970a794d0,5d663912-f57c-4e7f-9db7-1c2cc13cf679,le-taxi
69123-T-104,TAXNEU01,69123,"4.838308, 45.8767059990572",Quai Pasteur,4,,,2021-09-13T17:20:08.894000,60911729a640b4d970a794d0,5d663912-f57c-4e7f-9db7-1c2cc13cf679,le-taxi
69123-T-103,TAX705,69123,"4.837561, 45.7373719990571","1, Rue Marie-Madeleine Fourcade",4,,,2021-09-13T17:20:08.894000,60911729a640b4d970a794d0,5d663912-f57c-4e7f-9db7-1c2cc13cf679,le-taxi
