dataset_id,dataset_title,dataset_slug,dataset_page,resource_id,resource_title,resource_url,resource_last_modified,organization_or_owner,error_type,resource_found_by,initial_version_name,is_valid_v_1.3.0,is_valid_v_1.4.0,is_valid_v_1.5.0,is_valid_one_version,most_recent_valid_version
6065db003157b1104c21acdc,Données essentielles relatives aux marchés publics de la Ville d’Antibes,donnees-essentielles-relatives-aux-marches-publics-de-la-ville-dantibes,https://www.data.gouv.fr/fr/datasets/donnees-essentielles-relatives-aux-marches-publics-de-la-ville-dantibes/,083b365f-e853-47f0-b08e-4ec4c0c1d824,antibes-donnees-essentielles-mp-2021.json,https://static.data.gouv.fr/resources/donnees-essentielles-relatives-aux-marches-publics-de-la-ville-dantibes/20210902-090223/antibes-donnees-essentielles-mp-2021.json,2021-09-02T09:02:24.868000,ville-dantibes,,1 - schema request,,False,True,True,True,1.5.0
608fefa19dbadcd403cabd86,Données essentielles des marchés publics lancés en 2020 par l'Université du Littoral Côte d'Opale (ULCO),donnees-essentielles-des-marches-publics-lances-en-2020-par-luniversite-du-littoral-cote-dopale-ulco,https://www.data.gouv.fr/fr/datasets/donnees-essentielles-des-marches-publics-lances-en-2020-par-luniversite-du-littoral-cote-dopale-ulco/,09fda548-b763-4ac5-8009-1782d7922d67,Tableau-de-donnees-essentielles-commande-publique-ulco-2020-15.04.2021.pdf,https://static.data.gouv.fr/resources/donnees-essentielles-des-marches-publics-lances-en-2020-par-luniversite-du-littoral-cote-dopale-ulco/20210503-144233/tableau-de-donnees-essentielles-commande-publique-ulco-2020-15.04.2021.pdf,2021-05-03T14:43:08.233000,,wrong-file-format,1 - schema request,,False,False,False,False,
608fed0bad3269dbe414f3e9,"Liste des marchés > 25 000 € HT et des modifications sur marché passés par l'Université du Littoral Côte d'Opale, en 2020",liste-des-marches-25-000-eur-ht-et-des-modifications-sur-marche-passes-par-luniversite-du-littoral-cote-dopale-en-2020,https://www.data.gouv.fr/fr/datasets/liste-des-marches-25-000-eur-ht-et-des-modifications-sur-marche-passes-par-luniversite-du-littoral-cote-dopale-en-2020/,0ff28cba-d6ba-4874-bdfa-982beb1b6e4b,Tableau-de-donnees-essentielles-commande-publique-ulco-2020-15.04.2021.pdf,https://static.data.gouv.fr/resources/liste-des-marches-25-000-eur-ht-et-des-modifications-sur-marche-passes-par-luniversite-du-littoral-cote-dopale-en-2020/20210503-143855/tableau-de-donnees-essentielles-commande-publique-ulco-2020-15.04.2021.pdf,2021-05-03T14:39:41.391000,,wrong-file-format,1 - schema request,,False,False,False,False,
602fa086b59ce18d4b61b43f,La Plaine D'Estrées_Basecommerce,la-plaine-destrees-basecommerce,https://www.data.gouv.fr/fr/datasets/la-plaine-destrees-basecommerce/,d4f39ab1-06ea-455f-a059-1c9a43c276ed,la-plaine-destree-base-commerce.csv,https://static.data.gouv.fr/resources/la-plaine-destrees-basecommerce/20210219-142953/la-plaine-destree-base-commerciale.csv,2021-02-19T14:31:11.388000,,wrong-file-format,1 - schema request,,False,False,False,False,
6065db003157b1104c21acdc,Données essentielles relatives aux marchés publics de la Ville d’Antibes,donnees-essentielles-relatives-aux-marches-publics-de-la-ville-dantibes,https://www.data.gouv.fr/fr/datasets/donnees-essentielles-relatives-aux-marches-publics-de-la-ville-dantibes/,bc7ab3f8-3dca-4bbb-9dc4-e0cd8773c50b,antibes-donnees-essentielles-mp-2019.xls,https://static.data.gouv.fr/resources/donnees-essentielles-relatives-aux-marches-publics-de-la-ville-dantibes/20210401-163954/antibes-donnees-essentielles-mp-2019.xls,2021-04-01T16:40:08.933000,,wrong-file-format,1 - schema request,,False,False,False,False,
602fa086b59ce18d4b61b43f,La Plaine D'Estrées_Basecommerce,la-plaine-destrees-basecommerce,https://www.data.gouv.fr/fr/datasets/la-plaine-destrees-basecommerce/,77ea4cf6-239a-4131-87da-a47c450efded,la-Plaine-d'Estrées-basecommerce.pdf,https://static.data.gouv.fr/resources/la-plaine-destrees-basecommerce/20210219-122712/la-plaine-destrees-basecommerce-1-.pdf,2021-02-19T14:18:07.293000,,wrong-file-format,1 - schema request,,False,False,False,False,
6065db003157b1104c21acdc,Données essentielles relatives aux marchés publics de la Ville d’Antibes,donnees-essentielles-relatives-aux-marches-publics-de-la-ville-dantibes,https://www.data.gouv.fr/fr/datasets/donnees-essentielles-relatives-aux-marches-publics-de-la-ville-dantibes/,e83097d2-e539-4689-a5ad-9458d403f86a,antibes-donnees-essentielles-mp-2020.xls,https://static.data.gouv.fr/resources/donnees-essentielles-relatives-aux-marches-publics-de-la-ville-dantibes/20210401-164138/antibes-donnees-essentielles-mp-2020.xls,2021-04-01T16:41:45.756000,,wrong-file-format,1 - schema request,,False,False,False,False,
6065db003157b1104c21acdc,Données essentielles relatives aux marchés publics de la Ville d’Antibes,donnees-essentielles-relatives-aux-marches-publics-de-la-ville-dantibes,https://www.data.gouv.fr/fr/datasets/donnees-essentielles-relatives-aux-marches-publics-de-la-ville-dantibes/,57bc7fbf-ca9d-4a5e-813b-2f6ea675a4f5,antibes-donnees-essentielles-mp-2020.csv,https://static.data.gouv.fr/resources/donnees-essentielles-relatives-aux-marches-publics-de-la-ville-dantibes/20210401-164225/antibes-donnees-essentielles-mp-2020.csv,2021-04-01T16:42:30.687000,,wrong-file-format,1 - schema request,,False,False,False,False,
6065db003157b1104c21acdc,Données essentielles relatives aux marchés publics de la Ville d’Antibes,donnees-essentielles-relatives-aux-marches-publics-de-la-ville-dantibes,https://www.data.gouv.fr/fr/datasets/donnees-essentielles-relatives-aux-marches-publics-de-la-ville-dantibes/,a48607b1-8f12-481e-90d1-3ec36fe65ab1,antibes-donnees-essentielles-mp-2021.xls,https://static.data.gouv.fr/resources/donnees-essentielles-relatives-aux-marches-publics-de-la-ville-dantibes/20210902-090157/antibes-donnees-essentielles-mp-2021.xls,2021-09-02T09:01:58.795000,,wrong-file-format,1 - schema request,,False,False,False,False,
6065db003157b1104c21acdc,Données essentielles relatives aux marchés publics de la Ville d’Antibes,donnees-essentielles-relatives-aux-marches-publics-de-la-ville-dantibes,https://www.data.gouv.fr/fr/datasets/donnees-essentielles-relatives-aux-marches-publics-de-la-ville-dantibes/,503fb8a0-a645-4e53-9ec2-9c24fbc42531,antibes-donnees-essentielles-mp-2021.csv,https://static.data.gouv.fr/resources/donnees-essentielles-relatives-aux-marches-publics-de-la-ville-dantibes/20210902-090210/antibes-donnees-essentielles-mp-2021.csv,2021-09-02T09:02:11.877000,,wrong-file-format,1 - schema request,,False,False,False,False,
