dataset_id,dataset_slug,dataset_page,resource_id,resource_title,resource_last_modified,organization_or_owner,error_type,resource_found_by,initial_version_name,is_valid_v_1.0.0,is_valid_v_1.0.1,is_valid_v_1.0.2,is_valid_v_1.0.3,is_valid_v_2.0.0,is_valid_one_version,most_recent_valid_version,is_downloaded,is_schema_version_to_update,is_schema_to_add,is_schema_to_drop,resource_schema_update_success,is_empty,schema_name,is_schema_version_updated,is_schema_added,is_schema_dropped
6018fce37930b543cd472263,borne-irve-exadys,https://demo.data.gouv.fr/fr/datasets/borne-irve-exadys/,52f99086-21f3-460d-bd76-8e0c1218bff1,20210201-declaration-bornes-exadys.csv,2021-02-02T08:19:33.262000,exadys,,1 - schema request,,False,False,False,False,False,False,,False,False,False,True,True,,etalab/schema-irve,False,False,True
5b3f674ac751df051a5195c1,localisations-geographiques-et-caracteristiques-techniques-des-stations-et-des-points-de-recharge-pour-vehicules-electriques-du-reseau-wiiiz-implantes-sur-le-territoire-de-la-communaute-dagglomeration-cannes-lerins-france-department-06,https://demo.data.gouv.fr/fr/datasets/localisations-geographiques-et-caracteristiques-techniques-des-stations-et-des-points-de-recharge-pour-vehicules-electriques-du-reseau-wiiiz-implantes-sur-le-territoire-de-la-communaute-dagglomeration-cannes-lerins-france-department-06/,4477b75b-f5b6-495b-8588-221cad8798bc,irve-wiizcacpl-20200518.csv,2020-05-18T12:04:49.715000,communaute-dagglomeration-cannes-lerins-1,,1 - schema request,,True,True,True,True,False,True,1.0.3,True,True,False,False,True,False,etalab/schema-irve,True,False,False
5b3f674ac751df051a5195c1,localisations-geographiques-et-caracteristiques-techniques-des-stations-et-des-points-de-recharge-pour-vehicules-electriques-du-reseau-wiiiz-implantes-sur-le-territoire-de-la-communaute-dagglomeration-cannes-lerins-france-department-06,https://demo.data.gouv.fr/fr/datasets/localisations-geographiques-et-caracteristiques-techniques-des-stations-et-des-points-de-recharge-pour-vehicules-electriques-du-reseau-wiiiz-implantes-sur-le-territoire-de-la-communaute-dagglomeration-cannes-lerins-france-department-06/,08d2bbe1-6194-4b2a-bd0c-715e9621802d,irve-wiizcapl-20190129.csv,2019-01-29T15:46:10.221000,communaute-dagglomeration-cannes-lerins-1,,1 - schema request,,False,False,False,False,False,False,,False,False,False,True,True,,etalab/schema-irve,False,False,True
5a7d59e7c751df5704e3519d,infrastructures-de-recharge-pour-vehicules-electriques-sidelc,https://demo.data.gouv.fr/fr/datasets/infrastructures-de-recharge-pour-vehicules-electriques-sidelc/,05ab8a52-2976-489c-a6db-01bcbefa4e92,IRVE_SIDELC_20180209.csv,2018-02-09T10:45:13.576000,leonard-du-mas-de-paysac,,1 - schema request,,False,False,False,False,False,False,,False,False,False,True,True,,etalab/schema-irve,False,False,True
5c892d5d634f414f7ce42e17,bornes-de-recharge-du-reseau-te61,https://demo.data.gouv.fr/fr/datasets/bornes-de-recharge-du-reseau-te61/,1e5973fe-785d-48d1-bb2b-671db99c2c60,irve-te61-20200603.csv,2020-07-10T11:17:11.114000,gireve-2,,1 - schema request,,False,False,False,False,False,False,,False,False,False,True,True,,etalab/schema-irve,False,False,True
5c892d5d634f414f7ce42e17,bornes-de-recharge-du-reseau-te61,https://demo.data.gouv.fr/fr/datasets/bornes-de-recharge-du-reseau-te61/,40f5e942-5245-4837-b140-8e4c5bc61529,irve-te61-20200309.csv,2020-03-09T15:36:37.169000,gireve-2,,1 - schema request,,False,False,False,False,False,False,,False,False,False,True,True,,etalab/schema-irve,False,False,True
5c892d5d634f414f7ce42e17,bornes-de-recharge-du-reseau-te61,https://demo.data.gouv.fr/fr/datasets/bornes-de-recharge-du-reseau-te61/,3d8e4ead-0ed9-4f3f-b181-6bb7f57a6c44,irve-te61-20191224.csv,2020-01-20T16:53:28.908000,gireve-2,,1 - schema request,,False,False,False,False,False,False,,False,False,False,True,True,,etalab/schema-irve,False,False,True
5c892d5d634f414f7ce42e17,bornes-de-recharge-du-reseau-te61,https://demo.data.gouv.fr/fr/datasets/bornes-de-recharge-du-reseau-te61/,3b119cfa-1a9a-4ead-99b8-2eb0b504ba11,irve-te61-20191010.csv,2019-11-29T12:29:24.539000,gireve-2,,1 - schema request,,False,False,False,False,False,False,,False,False,False,True,True,,etalab/schema-irve,False,False,True
5c892d5d634f414f7ce42e17,bornes-de-recharge-du-reseau-te61,https://demo.data.gouv.fr/fr/datasets/bornes-de-recharge-du-reseau-te61/,39e1d7fe-be0e-4c52-8d95-4fb5070f2070,irve-te61-20190823.csv,2019-09-11T10:59:05.581000,gireve-2,,1 - schema request,,False,False,False,False,False,False,,False,False,False,True,True,,etalab/schema-irve,False,False,True
5c892d5d634f414f7ce42e17,bornes-de-recharge-du-reseau-te61,https://demo.data.gouv.fr/fr/datasets/bornes-de-recharge-du-reseau-te61/,a8964b82-24c4-4602-a153-72c850175a56,20190705-te61.csv,2019-07-30T11:07:24.742000,gireve-2,,1 - schema request,,False,False,False,False,False,False,,False,False,False,True,True,,etalab/schema-irve,False,False,True
5c892d5d634f414f7ce42e17,bornes-de-recharge-du-reseau-te61,https://demo.data.gouv.fr/fr/datasets/bornes-de-recharge-du-reseau-te61/,47e3be73-c2ab-4512-b12d-9ba1afbbe5fe,20190426-s61.csv,2019-05-31T09:41:02.009000,gireve-2,,1 - schema request,,False,False,False,False,False,False,,False,False,False,True,True,,etalab/schema-irve,False,False,True
5c892d5d634f414f7ce42e17,bornes-de-recharge-du-reseau-te61,https://demo.data.gouv.fr/fr/datasets/bornes-de-recharge-du-reseau-te61/,d95a80fe-cb0f-49ec-8319-5aa41795d4dc,20181130-te61.csv,2019-03-13T17:18:47.059000,gireve-2,,1 - schema request,,False,False,False,False,False,False,,False,False,False,True,True,,etalab/schema-irve,False,False,True
5f588ae47f690901ede4f461,bornes-irve-pays-de-gex-agglo-2,https://demo.data.gouv.fr/fr/datasets/bornes-irve-pays-de-gex-agglo-2/,54135a75-8d1e-4ad7-81d2-8c1ca262ae1f,irve-pdga-v3.csv,2020-09-09T09:57:33.580000,pays-de-gex-agglo,,1 - schema request,,False,False,False,False,False,False,,False,False,False,True,True,,etalab/schema-irve,False,False,True
5e846151e9a643576341e9e7,infrastructures-de-recharge-pour-vehicules-electriques-pass-pass-electrique,https://demo.data.gouv.fr/fr/datasets/infrastructures-de-recharge-pour-vehicules-electriques-pass-pass-electrique/,4e9608c9-442a-4b39-8ed3-3eb92491a9bb,irve-hdf-20200318.csv,2020-04-01T11:39:56.611000,alexandre-court-2,,1 - schema request,,False,False,False,False,False,False,,False,False,False,True,True,,etalab/schema-irve,False,False,True
5bd06d168b4c413e0b092a0b,installations-de-recharge-de-vehicules-electriques,https://demo.data.gouv.fr/fr/datasets/installations-de-recharge-de-vehicules-electriques/,cb5b0952-6275-4494-a24d-c78d04dd7b9f,tableau-irve-gouv.csv,2019-02-12T10:59:11.504000,chambery-grand-lac-economie-1,,1 - schema request,,False,False,False,False,False,False,,False,False,False,True,True,,etalab/schema-irve,False,False,True
5b3f674ac751df051a5195c1,localisations-geographiques-et-caracteristiques-techniques-des-stations-et-des-points-de-recharge-pour-vehicules-electriques-du-reseau-wiiiz-implantes-sur-le-territoire-de-la-communaute-dagglomeration-cannes-lerins-france-department-06,https://demo.data.gouv.fr/fr/datasets/localisations-geographiques-et-caracteristiques-techniques-des-stations-et-des-points-de-recharge-pour-vehicules-electriques-du-reseau-wiiiz-implantes-sur-le-territoire-de-la-communaute-dagglomeration-cannes-lerins-france-department-06/,3bd50899-ebbd-4e14-8a0f-e9458ac14c98,wiiiz-open-data-17022021-cacpl.xlsx,2021-03-25T11:38:22.904000,,wrong-file-format,1 - schema request,,False,False,False,False,False,False,,False,False,False,True,True,,etalab/schema-irve,False,False,True
5d260af0634f4137439e9426,infrastructures-de-recharge-pour-vehicules-electriques-metropole-aix-marseille-provence,https://demo.data.gouv.fr/fr/datasets/infrastructures-de-recharge-pour-vehicules-electriques-metropole-aix-marseille-provence/,df922622-a1c3-4e27-abe0-2590e38ff545,irve-mamp-20210409.csv,2021-04-09T18:39:52.840000,alexandre-court-2,,1 - schema request,,False,False,False,False,False,False,,False,False,False,True,True,,etalab/schema-irve,False,False,True
5c892700634f413f607d6e70,bornes-de-recharge-du-reseau-modulo,https://demo.data.gouv.fr/fr/datasets/bornes-de-recharge-du-reseau-modulo/,3187539c-9f5a-4683-8039-73a7173c08ba,irve-modulo-20200309.csv,2020-03-09T15:36:53.890000,gireve-2,,1 - schema request,,False,False,False,False,False,False,,False,False,False,True,True,,etalab/schema-irve,False,False,True
5c892700634f413f607d6e70,bornes-de-recharge-du-reseau-modulo,https://demo.data.gouv.fr/fr/datasets/bornes-de-recharge-du-reseau-modulo/,627dabce-a369-4161-990f-dc10bb018852,irve-modulo-20200108.csv,2020-01-20T16:54:42.308000,gireve-2,,1 - schema request,,False,False,False,False,False,False,,False,False,False,True,True,,etalab/schema-irve,False,False,True
5c892700634f413f607d6e70,bornes-de-recharge-du-reseau-modulo,https://demo.data.gouv.fr/fr/datasets/bornes-de-recharge-du-reseau-modulo/,e4c1e1ad-b4fb-44cb-b205-8b051bcbfdb0,irve-modulo-20191023.csv,2019-11-29T12:29:52.756000,gireve-2,,1 - schema request,,False,False,False,False,False,False,,False,False,False,True,True,,etalab/schema-irve,False,False,True
5c892700634f413f607d6e70,bornes-de-recharge-du-reseau-modulo,https://demo.data.gouv.fr/fr/datasets/bornes-de-recharge-du-reseau-modulo/,4e08e3fc-57c6-4415-bc35-d226827bf1fd,irve-modulo-20190827.csv,2019-09-11T10:56:03.954000,gireve-2,,1 - schema request,,False,False,False,False,False,False,,False,False,False,True,True,,etalab/schema-irve,False,False,True
