dataset_id,dataset_title,dataset_slug,dataset_page,resource_id,resource_title,resource_url,resource_last_modified,organization_or_owner,error_type,resource_found_by,initial_version_name,is_valid_v_0.1.0,is_valid_v_0.1.1,is_valid_v_0.1.2,is_valid_v_0.1.3,is_valid_v_0.1.4,is_valid_one_version,most_recent_valid_version,is_downloaded,is_empty,is_schema_version_to_update,is_schema_to_add,is_schema_to_drop,resource_schema_update_success,producer_notification_success,schema_name,is_schema_version_updated,is_schema_added,is_schema_dropped
5ea1add4a5a7dac3af82310a,Base Nationale des Lieux de Stationnement,base-nationale-des-lieux-de-stationnement,https://demo.data.gouv.fr/fr/datasets/base-nationale-des-lieux-de-stationnement/,f33cbfe8-5181-48ad-a1d4-a5d99bfa3de1,20210502-bnls.csv,https://static.data.gouv.fr/resources/base-nationale-des-lieux-de-stationnement/20210502-172806/bnls-2-.csv,2021-05-02T17:29:46.328000,equipe-transport-data-gouv-fr,,1 - schema request,,False,False,False,False,True,True,0.1.4,True,False,True,False,False,True,,etalab/schema-stationnement,True,False,False
5f6fa03971a139dff97a7431,Base Locale des Lieux de Stationnement - Metz Métropole,base-locale-des-lieux-de-stationnement-metz-metropole,https://demo.data.gouv.fr/fr/datasets/base-locale-des-lieux-de-stationnement-metz-metropole/,5ccdcfdc-0a8b-4524-9b59-7f0212e4ad5c,Base Locale des Lieux de Stationnement - Metz Métropole,https://si.metzmetropole.fr/fiches/opendata/agd/stationnement_metzmetropole.csv,2020-10-08T15:41:38.824000,metz-metropole,,1 - schema request,,False,False,False,False,True,True,0.1.4,True,False,True,False,False,True,,etalab/schema-stationnement,True,False,False
5ea1add4a5a7dac3af82310a,Base Nationale des Lieux de Stationnement,base-nationale-des-lieux-de-stationnement,https://demo.data.gouv.fr/fr/datasets/base-nationale-des-lieux-de-stationnement/,fd792448-1307-44a0-ad55-3ffca47d6b55,20200430-bnls.csv,https://static.data.gouv.fr/resources/base-nationale-des-lieux-de-stationnement/20200430-143216/20200430-bnls.csv,2020-08-11T09:50:52.304000,equipe-transport-data-gouv-fr,,1 - schema request,,False,False,False,False,False,False,,False,,False,False,True,True,,etalab/schema-stationnement,False,False,True
5ea1add4a5a7dac3af82310a,Base Nationale des Lieux de Stationnement,base-nationale-des-lieux-de-stationnement,https://demo.data.gouv.fr/fr/datasets/base-nationale-des-lieux-de-stationnement/,8d2e47ba-5a49-4e93-9e3e-0c69756be2ae,20200604-bnls.csv,https://static.data.gouv.fr/resources/base-nationale-des-lieux-de-stationnement/20200604-174831/20200604-bnls.csv,2020-08-11T09:50:37.608000,equipe-transport-data-gouv-fr,,1 - schema request,,False,False,False,False,True,True,0.1.4,True,False,True,False,False,True,,etalab/schema-stationnement,True,False,False
5ea1add4a5a7dac3af82310a,Base Nationale des Lieux de Stationnement,base-nationale-des-lieux-de-stationnement,https://demo.data.gouv.fr/fr/datasets/base-nationale-des-lieux-de-stationnement/,e32f7675-913b-4e01-b8c8-0a29733e4407,bnls.csv,https://static.data.gouv.fr/resources/base-nationale-des-lieux-de-stationnement/20210502-172910/bnls-2-.csv,2021-07-21T11:55:38.230000,equipe-transport-data-gouv-fr,,1 - schema request,,False,False,False,False,True,True,0.1.4,True,False,True,False,False,True,,etalab/schema-stationnement,True,False,False
5ea1add4a5a7dac3af82310a,Base Nationale des Lieux de Stationnement,base-nationale-des-lieux-de-stationnement,https://demo.data.gouv.fr/fr/datasets/base-nationale-des-lieux-de-stationnement/,84082505-4d0a-4cf4-8b0a-ca327946ac64,20200605-bnls.csv,https://static.data.gouv.fr/resources/base-nationale-des-lieux-de-stationnement/20200605-154544/20200605-bnls.csv,2020-08-11T09:50:24.742000,equipe-transport-data-gouv-fr,,1 - schema request,,False,False,False,False,True,True,0.1.4,True,False,True,False,False,True,,etalab/schema-stationnement,True,False,False
5ea1add4a5a7dac3af82310a,Base Nationale des Lieux de Stationnement,base-nationale-des-lieux-de-stationnement,https://demo.data.gouv.fr/fr/datasets/base-nationale-des-lieux-de-stationnement/,6998ff9d-face-4b13-9717-ff6b31447d99,20200618-bnls-.csv,https://static.data.gouv.fr/resources/base-nationale-des-lieux-de-stationnement/20200618-133807/20200618-bnls-.csv,2020-08-11T09:50:16.159000,equipe-transport-data-gouv-fr,,1 - schema request,,False,False,False,False,False,False,,False,,False,False,True,True,,etalab/schema-stationnement,False,False,True
5ea1add4a5a7dac3af82310a,Base Nationale des Lieux de Stationnement,base-nationale-des-lieux-de-stationnement,https://demo.data.gouv.fr/fr/datasets/base-nationale-des-lieux-de-stationnement/,8b0ae12d-7eab-4389-8bdd-cc23c0e9e2cc,20200622-bnls.csv,https://static.data.gouv.fr/resources/base-nationale-des-lieux-de-stationnement/20200622-090444/20200622bnls.csv,2020-08-11T09:49:55.507000,equipe-transport-data-gouv-fr,,1 - schema request,,False,False,False,False,False,False,,False,,False,False,True,True,,etalab/schema-stationnement,False,False,True
5ea1add4a5a7dac3af82310a,Base Nationale des Lieux de Stationnement,base-nationale-des-lieux-de-stationnement,https://demo.data.gouv.fr/fr/datasets/base-nationale-des-lieux-de-stationnement/,54701753-c5b7-4787-b797-9ffea329dafa,20200702-bnls.csv,https://static.data.gouv.fr/resources/base-nationale-des-lieux-de-stationnement/20200702-150043/20200702-bnls.csv,2020-08-11T09:49:47.055000,equipe-transport-data-gouv-fr,,1 - schema request,,False,False,False,False,True,True,0.1.4,True,False,True,False,False,True,,etalab/schema-stationnement,True,False,False
5ea1add4a5a7dac3af82310a,Base Nationale des Lieux de Stationnement,base-nationale-des-lieux-de-stationnement,https://demo.data.gouv.fr/fr/datasets/base-nationale-des-lieux-de-stationnement/,a2554ef8-aa79-41f0-b8a2-f3d2e9e985a1,20200504-bnls.csv,https://static.data.gouv.fr/resources/base-nationale-des-lieux-de-stationnement/20200504-111448/20200504-bnls.csv,2020-08-11T09:50:44.270000,equipe-transport-data-gouv-fr,,1 - schema request,,False,False,False,False,True,True,0.1.4,True,False,True,False,False,True,,etalab/schema-stationnement,True,False,False
