dataset_id,dataset_title,dataset_slug,dataset_page,resource_id,resource_title,resource_url,resource_last_modified,organization_or_owner,error_type,resource_found_by,initial_version_name,is_valid_v_0.1.1,is_valid_one_version,most_recent_valid_version,is_downloaded,is_schema_version_to_update,is_schema_to_add,is_schema_to_drop,schema_name
605c48e931cec66d3952746b,Lieux d'inclusion numérique de la Ville d'Antibes,lieux-dinclusion-numerique-de-la-ville-dantibes,https://www.data.gouv.fr/fr/datasets/lieux-dinclusion-numerique-de-la-ville-dantibes/,387738dc-f999-471c-8886-779ed743c985,antibes-inclusion-num.csv,https://static.data.gouv.fr/resources/lieux-dinclusion-numerique-de-la-ville-dantibes/20210325-092531/antibes-inclusion-num.csv,2021-03-25T09:25:37.625000,ville-dantibes,,1 - schema request,,False,False,,False,False,False,True,etalab/schema-inclusion-numerique
605c48e931cec66d3952746b,Lieux d'inclusion numérique de la Ville d'Antibes,lieux-dinclusion-numerique-de-la-ville-dantibes,https://www.data.gouv.fr/fr/datasets/lieux-dinclusion-numerique-de-la-ville-dantibes/,97dcaf0d-1f60-45c6-a3e1-0491c91b283e,antibes-inclusion-num.xls,https://static.data.gouv.fr/resources/lieux-dinclusion-numerique-de-la-ville-dantibes/20210325-092518/antibes-inclusion-num.xls,2021-03-25T09:25:24.645000,,wrong-file-format,1 - schema request,,False,False,,False,False,False,True,etalab/schema-inclusion-numerique
5d3800838b4c417b37569f94,Résultats de l'AAP Pass Numériques,resultats-de-laap-pass-numeriques,https://www.data.gouv.fr/fr/datasets/resultats-de-laap-pass-numeriques/,c380f91f-206d-4fd8-91e5-44be9e659b58,Lauréats AAP Pass Numérique (csv),https://static.data.gouv.fr/resources/resultats-de-laap-pass-numeriques/20190920-112347/laureats-aap-pass-num.csv,2019-09-20T11:24:03.787000,mission-tres-haut-debit,,3 - search request,,False,False,,False,False,False,False,etalab/schema-inclusion-numerique
602e7220e7fbf497c82826c8,Lieux d'inclusion numérique à Saint-Germain-en-Laye,lieux-dinclusion-numerique-a-saint-germain-en-laye,https://www.data.gouv.fr/fr/datasets/lieux-dinclusion-numerique-a-saint-germain-en-laye/,8d999ee1-ffd8-4978-847e-dff2f4242d57,SGEL_lieux_inclusion_numérique,https://static.data.gouv.fr/resources/lieux-dinclusion-numerique-a-saint-germain-en-laye/20210218-145959/workflow-132570-reordercolumns-584332-1-.csv,2021-02-18T15:00:35.202000,commune-de-saint-germain-en-laye,,3 - search request,,False,False,,False,False,False,False,etalab/schema-inclusion-numerique
6066978d74f1b09ab31b86bd,Réseau parisien d'inclusion numérique,reseau-parisien-dinclusion-numerique,https://www.data.gouv.fr/fr/datasets/reseau-parisien-dinclusion-numerique/,1343826f-2733-4394-8ebf-3cc1bdeddf99,Export au format Shapefile,https://opendata.paris.fr/explore/dataset/reseau-parisien-dinclusion-numerique/download?format=shp&timezone=Europe/Berlin&use_labels_for_header=false,2021-04-01T07:51:32,,wrong-file-format,3 - search request,,False,False,,False,False,False,False,etalab/schema-inclusion-numerique
6066978d74f1b09ab31b86bd,Réseau parisien d'inclusion numérique,reseau-parisien-dinclusion-numerique,https://www.data.gouv.fr/fr/datasets/reseau-parisien-dinclusion-numerique/,83be7748-863b-4530-b2f9-2bcddd47d738,Export au format GeoJSON,https://opendata.paris.fr/explore/dataset/reseau-parisien-dinclusion-numerique/download?format=geojson&timezone=Europe/Berlin&use_labels_for_header=false,2021-04-01T07:51:32,,wrong-file-format,3 - search request,,False,False,,False,False,False,False,etalab/schema-inclusion-numerique
6066978d74f1b09ab31b86bd,Réseau parisien d'inclusion numérique,reseau-parisien-dinclusion-numerique,https://www.data.gouv.fr/fr/datasets/reseau-parisien-dinclusion-numerique/,e251a14b-3cb6-488a-92f8-29f99f0b01cd,Export au format JSON,https://opendata.paris.fr/explore/dataset/reseau-parisien-dinclusion-numerique/download?format=json&timezone=Europe/Berlin&use_labels_for_header=false,2021-04-01T07:51:32,,wrong-file-format,3 - search request,,False,False,,False,False,False,False,etalab/schema-inclusion-numerique
6066978d74f1b09ab31b86bd,Réseau parisien d'inclusion numérique,reseau-parisien-dinclusion-numerique,https://www.data.gouv.fr/fr/datasets/reseau-parisien-dinclusion-numerique/,6af73d6e-7a7f-448b-9b2d-bfe46f575433,Export au format CSV,https://opendata.paris.fr/explore/dataset/reseau-parisien-dinclusion-numerique/download?format=csv&timezone=Europe/Berlin&use_labels_for_header=false,2021-04-01T07:51:32,mairie-de-paris,,3 - search request,,False,False,,False,False,False,False,etalab/schema-inclusion-numerique
5ce8864f06e3e760b2d57ebe,"SUD LABS, lieux d’innovation et de médiation numérique en région Sud Provence-Alpes-Côte d'Azur",sud-labs-lieux-dinnovation-et-de-mediation-numerique-en-region-sud-provence-alpes-cote-dazur,https://www.data.gouv.fr/fr/datasets/sud-labs-lieux-dinnovation-et-de-mediation-numerique-en-region-sud-provence-alpes-cote-dazur/,09ca1d38-90bb-4dc4-bf47-cd2be05f91e3,RegionSud_LDN_SudLabs-2021.xlsx,https://trouver.datasud.fr/dataset/743b9e75-6ffb-4a1e-8703-5e5e4727a773/resource/09ca1d38-90bb-4dc4-bf47-cd2be05f91e3/download/20210121ldn_cartesudlabs_qu7t0l6.xlsx,2021-07-30T00:00:00,,wrong-file-format,3 - search request,,False,False,,False,False,False,False,etalab/schema-inclusion-numerique
5ce8864f06e3e760b2d57ebe,"SUD LABS, lieux d’innovation et de médiation numérique en région Sud Provence-Alpes-Côte d'Azur",sud-labs-lieux-dinnovation-et-de-mediation-numerique-en-region-sud-provence-alpes-cote-dazur,https://www.data.gouv.fr/fr/datasets/sud-labs-lieux-dinnovation-et-de-mediation-numerique-en-region-sud-provence-alpes-cote-dazur/,4392f2f5-b60d-4c98-a853-6144b6790d31,RegionSud_LDN_SudLabs-2021.xlsx,https://trouver.datasud.fr/dataset/743b9e75-6ffb-4a1e-8703-5e5e4727a773/resource/4392f2f5-b60d-4c98-a853-6144b6790d31/download/20210121ldn_cartesudlabs_qu7t0l6.xlsx,2021-07-19T00:00:00,,wrong-file-format,3 - search request,,False,False,,False,False,False,False,etalab/schema-inclusion-numerique
