dataset_id,dataset_title,dataset_slug,dataset_page,resource_id,resource_title,resource_url,resource_last_modified,organization_or_owner,error_type,resource_found_by,initial_version_name,is_valid_v_0.1.0,is_valid_v_0.1.1,is_valid_one_version,most_recent_valid_version,is_downloaded,is_empty,is_schema_version_to_update,is_schema_to_add,is_schema_to_drop,schema_name
60911729a640b4d970a794d0,Stations de taxi en France,stations-de-taxi-en-france,https://www.data.gouv.fr/fr/datasets/stations-de-taxi-en-france/,5d663912-f57c-4e7f-9db7-1c2cc13cf679,Format CSV,https://static.data.gouv.fr/resources/stations-de-taxi-en-france/20210913-171835/data.csv,2021-09-13T17:20:08.894000,le-taxi,,1 - schema request,,False,True,True,0.1.1,True,False,True,False,False,openmaraude/schema-stationstaxi
60911729a640b4d970a794d0,Stations de taxi en France,stations-de-taxi-en-france,https://www.data.gouv.fr/fr/datasets/stations-de-taxi-en-france/,2591b6af-ddc4-4dd5-9793-cd0c7ce672c3,Format GeoJSON,https://static.data.gouv.fr/resources/stations-de-taxi-en-france/20210824-094113/stations.json,2021-09-13T17:20:21.256000,,wrong-file-format,1 - schema request,,False,False,False,,False,,False,False,True,openmaraude/schema-stationstaxi
56b0c2f2b595086d5669cb91,Emplacements taxis,emplacements-taxis,https://www.data.gouv.fr/fr/datasets/emplacements-taxis/,4416fc2a-ac16-4311-a449-72285e19e679,Export au format Shapefile,https://data.toulouse-metropole.fr/explore/dataset/emplacements-taxis/download?format=shp&timezone=Europe/Berlin&use_labels_for_header=false,2021-09-19T07:10:04,,wrong-file-format,3 - search request,,False,False,False,,False,,False,False,False,openmaraude/schema-stationstaxi
56b0c2f2b595086d5669cb91,Emplacements taxis,emplacements-taxis,https://www.data.gouv.fr/fr/datasets/emplacements-taxis/,18ed0d17-c3b0-472d-a7be-66f88eb6c9c5,Export au format GeoJSON,https://data.toulouse-metropole.fr/explore/dataset/emplacements-taxis/download?format=geojson&timezone=Europe/Berlin&use_labels_for_header=false,2021-09-19T07:10:04,,wrong-file-format,3 - search request,,False,False,False,,False,,False,False,False,openmaraude/schema-stationstaxi
56b0c2f2b595086d5669cb91,Emplacements taxis,emplacements-taxis,https://www.data.gouv.fr/fr/datasets/emplacements-taxis/,c7550fd1-5e7a-4a39-95c4-ac1e0d5873c5,Export au format JSON,https://data.toulouse-metropole.fr/explore/dataset/emplacements-taxis/download?format=json&timezone=Europe/Berlin&use_labels_for_header=false,2021-09-19T07:10:04,,wrong-file-format,3 - search request,,False,False,False,,False,,False,False,False,openmaraude/schema-stationstaxi
56b0c2f2b595086d5669cb91,Emplacements taxis,emplacements-taxis,https://www.data.gouv.fr/fr/datasets/emplacements-taxis/,7ae8c599-9740-4657-a3a3-5d725efcdd1f,Export au format CSV,https://data.toulouse-metropole.fr/explore/dataset/emplacements-taxis/download?format=csv&timezone=Europe/Berlin&use_labels_for_header=false,2021-09-19T07:10:04,toulouse-metropole,,3 - search request,,False,False,False,,False,,False,False,False,openmaraude/schema-stationstaxi
56b0c2f2b595086d5669cb91,Emplacements taxis,emplacements-taxis,https://www.data.gouv.fr/fr/datasets/emplacements-taxis/,99ace83e-e62d-4a4b-9235-19dcd9eaa694,Export au format Shapefile,https://data.toulouse-metropole.fr//explore/dataset/emplacements-taxis/download?format=shp&timezone=Europe/Berlin&use_labels_for_header=false,2015-02-13T23:00:00,,wrong-file-format,3 - search request,,False,False,False,,False,,False,False,False,openmaraude/schema-stationstaxi
56b0c2f2b595086d5669cb91,Emplacements taxis,emplacements-taxis,https://www.data.gouv.fr/fr/datasets/emplacements-taxis/,9a2cac12-dcbd-41ef-b0d5-7d92ea549c3a,Export au format GeoJSON,https://data.toulouse-metropole.fr//explore/dataset/emplacements-taxis/download?format=geojson&timezone=Europe/Berlin&use_labels_for_header=false,2015-02-13T23:00:00,,wrong-file-format,3 - search request,,False,False,False,,False,,False,False,False,openmaraude/schema-stationstaxi
56b0c2f2b595086d5669cb91,Emplacements taxis,emplacements-taxis,https://www.data.gouv.fr/fr/datasets/emplacements-taxis/,e822fa57-0508-4569-88ef-326c1426dd31,Export au format JSON,https://data.toulouse-metropole.fr//explore/dataset/emplacements-taxis/download?format=json&timezone=Europe/Berlin&use_labels_for_header=false,2015-02-13T23:00:00,,wrong-file-format,3 - search request,,False,False,False,,False,,False,False,False,openmaraude/schema-stationstaxi
56b0c2f2b595086d5669cb91,Emplacements taxis,emplacements-taxis,https://www.data.gouv.fr/fr/datasets/emplacements-taxis/,9ca81df3-9c4c-4c3c-9738-9e3f86f72b71,Export au format CSV,https://data.toulouse-metropole.fr//explore/dataset/emplacements-taxis/download?format=csv&timezone=Europe/Berlin&use_labels_for_header=false,2015-02-13T23:00:00,toulouse-metropole,,3 - search request,,False,False,False,,False,,False,False,False,openmaraude/schema-stationstaxi
