dataset_id,dataset_title,dataset_slug,dataset_page,resource_id,resource_title,resource_url,resource_last_modified,organization_or_owner,error_type,resource_found_by,initial_version_name,is_valid_v_1.1.0,is_valid_v_2.0.0,is_valid_v_2.1.0,is_valid_v_2.1.1,is_valid_v_2.1.2,is_valid_v_2.1.3,is_valid_one_version,most_recent_valid_version
602e4d411c8215c7fffbf63d,Délibérations de la ville du Pré Saint-Gervais sur la période 2003 - 2020,deliberations-de-la-ville-du-pre-saint-gervais-sur-la-periode-2003-2020,https://www.data.gouv.fr/fr/datasets/deliberations-de-la-ville-du-pre-saint-gervais-sur-la-periode-2003-2020/,0518cd2e-54ad-412a-9cdf-3f1499d14b81,deliberations-de-la-ville-du-pre-saint-gervais-sur-la-periode-2003-2020.csv,https://static.data.gouv.fr/resources/deliberations-de-la-ville-du-pre-saint-gervais-sur-la-periode-2003-2020/20210218-122302/deliberations-de-la-ville-du-pre-saint-gervais-sur-la-periode-2003-2020.csv,2021-02-18T12:30:21.952000,le-pre-saint-gervais,,1 - schema request,,False,False,False,False,False,False,False,
5e738d557c9396b83d59f0df,Délibérations du Conseil municipal de la Ville d'Antibes,deliberations-du-conseil-municipal-de-la-ville-dantibes,https://www.data.gouv.fr/fr/datasets/deliberations-du-conseil-municipal-de-la-ville-dantibes/,712ce34d-fcae-4060-bc33-65e36d99b437,antibes-deliberations.csv,https://static.data.gouv.fr/resources/deliberations-du-conseil-municipal-de-la-ville-dantibes/20210914-164202/antibes-deliberations.csv,2021-09-14T16:42:05.327000,ville-dantibes,,1 - schema request,,False,False,False,False,False,False,False,
5e738d557c9396b83d59f0df,Délibérations du Conseil municipal de la Ville d'Antibes,deliberations-du-conseil-municipal-de-la-ville-dantibes,https://www.data.gouv.fr/fr/datasets/deliberations-du-conseil-municipal-de-la-ville-dantibes/,779c020b-3e81-47ab-8975-df9d0975481c,antibes-deliberations.xlsx,https://static.data.gouv.fr/resources/deliberations-du-conseil-municipal-de-la-ville-dantibes/20210914-164149/antibes-deliberations.xlsx,2021-09-14T16:41:51.187000,,wrong-file-format,1 - schema request,,False,False,False,False,False,False,False,
5fbe8504f73ca926f22ba611,Délibérations du Conseil départemental du Loiret,deliberations-du-conseil-departemental-du-loiret,https://www.data.gouv.fr/fr/datasets/deliberations-du-conseil-departemental-du-loiret/,1de587fa-c736-463a-ac4b-219a27b434e8,attributs.csv,https://static.data.gouv.fr/resources/deliberations-du-conseil-departemental-du-loiret/20201125-180540/attributs.csv,2020-11-25T18:05:56.345000,departement-du-loiret,,1 - schema request,,False,False,False,False,False,False,False,
5fbe8504f73ca926f22ba611,Délibérations du Conseil départemental du Loiret,deliberations-du-conseil-departemental-du-loiret,https://www.data.gouv.fr/fr/datasets/deliberations-du-conseil-departemental-du-loiret/,16e43d36-a04c-4bcd-ad62-3eedbba4eaed,delib-45.ods,https://static.data.gouv.fr/resources/deliberations-du-conseil-departemental-du-loiret/20210528-131050/delib-45.ods,2021-05-28T13:10:54.621000,,wrong-file-format,1 - schema request,,False,False,False,False,False,False,False,
5fbe8504f73ca926f22ba611,Délibérations du Conseil départemental du Loiret,deliberations-du-conseil-departemental-du-loiret,https://www.data.gouv.fr/fr/datasets/deliberations-du-conseil-departemental-du-loiret/,cb100d1b-9f86-417e-b245-108651894545,delib-45.xlsx,https://static.data.gouv.fr/resources/deliberations-du-conseil-departemental-du-loiret/20210528-130655/delib-45.xlsx,2021-05-28T13:09:11.612000,,wrong-file-format,1 - schema request,,False,False,False,False,False,False,False,
5fbe8504f73ca926f22ba611,Délibérations du Conseil départemental du Loiret,deliberations-du-conseil-departemental-du-loiret,https://www.data.gouv.fr/fr/datasets/deliberations-du-conseil-departemental-du-loiret/,58e81cda-fec2-47a3-87d8-4ea77a5211f2,delib-45.json,https://static.data.gouv.fr/resources/deliberations-du-conseil-departemental-du-loiret/20210528-131316/delib-45.json,2021-05-28T13:13:19.763000,,wrong-file-format,1 - schema request,,False,False,False,False,False,False,False,
5fbe8504f73ca926f22ba611,Délibérations du Conseil départemental du Loiret,deliberations-du-conseil-departemental-du-loiret,https://www.data.gouv.fr/fr/datasets/deliberations-du-conseil-departemental-du-loiret/,794e3844-2b19-4d48-b8e5-ad9e98b954b6,delib-45.csv,https://static.data.gouv.fr/resources/deliberations-du-conseil-departemental-du-loiret/20210528-131158/delib-45.csv,2021-05-28T13:12:07.060000,departement-du-loiret,,1 - schema request,,False,False,False,False,False,False,False,
5fca5cb4fb31589328fdd595, Liste des délibérations du CCAS de Saint-Avé en 2019,liste-des-deliberations-du-ccas-de-saint-ave-en-2019,https://www.data.gouv.fr/fr/datasets/liste-des-deliberations-du-ccas-de-saint-ave-en-2019/,19bfebbd-caba-4d04-969f-ca683dd0b765,deliberations-du-ccas-2019.csv,https://static.data.gouv.fr/resources/liste-des-deliberations-du-ccas-de-saint-ave-en-2019/20201204-170518/deliberations-du-ccas-2019.csv,2020-12-04T17:05:21.157000,ville-de-saint-ave,,1 - schema request,,False,False,False,False,False,False,False,
5fca5cb4fb31589328fdd595, Liste des délibérations du CCAS de Saint-Avé en 2019,liste-des-deliberations-du-ccas-de-saint-ave-en-2019,https://www.data.gouv.fr/fr/datasets/liste-des-deliberations-du-ccas-de-saint-ave-en-2019/,a3c13a02-57d7-448d-8941-2853cb306d17,deliberations-du-ccas-2019.xlsx,https://static.data.gouv.fr/resources/liste-des-deliberations-du-ccas-de-saint-ave-en-2019/20201204-165924/deliberations-du-ccas-2019.xlsx,2020-12-04T17:05:03.307000,,wrong-file-format,1 - schema request,,False,False,False,False,False,False,False,
